Test Size,Method,M,C,theta,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan,List of err_w,List of alpha
0.2,Decision Tree | ORIG,None,none,none,0.8160592255125285,0.4014251781472684,0.5723519196963426,0.3702081051478642,0.3434959349593496,0.7358750574184658,0.6087422018298985,"[[1433  323]
 [ 252  169]]",None,None
0.2,ImADA_12_DecisionTree | ORIG,10,10,0.3,0.80125284738041,0.36104513064133015,0.5378554071116121,0.3297180043383948,0.3033932135728543,0.7161231051906293,0.58114898901087,"[[1407  349]
 [ 269  152]]",None,"[np.float64(2.6669976901703425), np.float64(1.4276986382310044), np.float64(0.6683381994534859), np.float64(0.25899201633306124), np.float64(0.05401478832542558), np.float64(0.0028304592961746243), np.float64(-0.0001893236876025572), np.float64(1.2680816540613335e-05), np.float64(-8.492778154227907e-07), np.float64(5.6879398952970693e-08)]"
0.2,ADA_DSTree | ORIG,None,none,none,0.9755125284738041,0.14489311163895488,0.3759588351047945,0.23238095238095238,0.5865384615384616,0.8148828663298117,0.5602028200563796,"[[1713   43]
 [ 360   61]]",None,None
0.2,EANR-AdaBoost1_DecisionTree | ORIG,10,10,0.3,0.8667425968109339,0.332541567695962,0.5368686449517955,0.3522012578616352,0.37433155080213903,0.763435920992191,0.599642082253448,"[[1522  234]
 [ 281  140]]",None,"[np.float64(1.9056730260582746), np.float64(1.5578446873467355), np.float64(0.44128418449164536), np.float64(0.2881946535206463), np.float64(0.1322821334163757), np.float64(-0.026191349408275066), np.float64(0.0025339978975387383), np.float64(-0.0002416199151643694), np.float64(2.307143967830111e-05), np.float64(-2.202713487818487e-06)]"
0.2,SVM (lib) | ORIG,None,none,none,1.0,0.0,0.0,0.0,0.0,0.8066146072576941,0.5,"[[1756    0]
 [ 421    0]]",None,None
0.2,ADA_SVM | ORIG,None,none,none,0.9943052391799544,0.0332541567695962,0.18183724123655487,0.06292134831460675,0.5833333333333334,0.808451998162609,0.5137796979747753,"[[1746   10]
 [ 407   14]]",None,None
0.2,ImADA_12_WSVM | ORIG,10,10,0.3,ERR,ERR,ERR,ERR,ERR,ERR,ERR,domain error,None,None
0.2,ImADA_12_SVM | ORIG,10,10,0.3,ERR,ERR,ERR,ERR,ERR,ERR,ERR,domain error,None,None
0.2,EANR-AdaBoost2_DecisionTree | ORIG,10,10,0.3,0.8325740318906606,0.3254156769596199,0.520511904000955,0.3215962441314554,0.31786542923433875,0.7344970142397795,0.5789948544251402,"[[1462  294]
 [ 284  137]]",None,"[np.float64(2.728490449711255), np.float64(1.7224555191914348), np.float64(0.7970751931111874), np.float64(0.45645121949966205), np.float64(0.2984573928569273), np.float64(0.18182459346860488), np.float64(0.13677672340040867), np.float64(0.09570016274911121), np.float64(0.0847624411833178), np.float64(0.06511537818317813)]"
0.2,EANR-AdaBoost1_WSVM | ORIG,10,10,0.3,ERR,ERR,ERR,ERR,ERR,ERR,ERR,domain error,None,None
0.2,EANR-AdaBoost1_SVM | ORIG,10,10,0.3,ERR,ERR,ERR,ERR,ERR,ERR,ERR,domain error,None,None
0.2,EANR-AdaBoost_DecisionTree | ORIG,10,10,0.3,0.8832574031890661,0.3159144893111639,0.5282365109103863,0.35046113306982873,0.39349112426035504,0.7735415709692237,0.599585946250115,"[[1551  205]
 [ 288  133]]",None,"[np.float64(2.113977637360075), np.float64(1.7488133281524367), np.float64(0.6199103991094296), np.float64(0.4792729921545094), np.float64(0.25739949167585996), np.float64(0.20234684393158203), np.float64(0.13912669292755125), np.float64(0.11535328675502163), np.float64(0.08214220978156041), np.float64(0.08586419203255793)]"
0.2,WSVM | ORIG,10,10,0.3,1.0,0.0,0.0,0.0,0.0,0.8066146072576941,0.5,"[[1756    0]
 [ 421    0]]",None,None
0.2,ImADA_12_DecisionTree | ORIG,10,10,0.5,0.8035307517084282,0.34679334916864607,0.5278817296942239,0.3201754385964912,0.2973523421588595,0.7152044097381718,0.5751620504385371,"[[1411  345]
 [ 275  146]]",None,"[np.float64(2.4737103420343187), np.float64(1.4556697485758967), np.float64(0.6136870389991681), np.float64(0.24357038204810447), np.float64(0.016188103375336084), np.float64(-0.0013282246439892788), np.float64(0.00010991886602954979), np.float64(-9.090101140730993e-06), np.float64(7.517793257227056e-07), np.float64(-6.217416490744356e-08)]"
0.2,ImADA_12_SVM | ORIG,10,10,0.5,ERR,ERR,ERR,ERR,ERR,ERR,ERR,domain error,None,None
0.2,WSVM | ORIG,10,10,0.5,1.0,0.0,0.0,0.0,0.0,0.8066146072576941,0.5,"[[1756    0]
 [ 421    0]]",None,None
0.2,EANR-AdaBoost1_DecisionTree | ORIG,10,10,0.5,0.8712984054669703,0.33729216152019004,0.5421089581523713,0.35994930291508237,0.3858695652173913,0.7680293982544787,0.6042952834935802,"[[1530  226]
 [ 279  142]]",None,"[np.float64(1.9056730260582746), np.float64(1.5578446873467355), np.float64(0.44128418449164536), np.float64(0.2881946535206463), np.float64(0.1322821334163757), np.float64(-0.026191349408275066), np.float64(0.0025339978975387383), np.float64(-0.0002416199151643694), np.float64(2.307143967830111e-05), np.float64(-2.202713487818487e-06)]"
0.2,ImADA_12_WSVM | ORIG,10,10,0.5,ERR,ERR,ERR,ERR,ERR,ERR,ERR,domain error,None,None
0.2,EANR-AdaBoost1_SVM | ORIG,10,10,0.5,ERR,ERR,ERR,ERR,ERR,ERR,ERR,domain error,None,None
0.2,EANR-AdaBoost1_WSVM | ORIG,10,10,0.5,ERR,ERR,ERR,ERR,ERR,ERR,ERR,domain error,None,None
0.2,EANR-AdaBoost2_DecisionTree | ORIG,10,10,0.5,0.8308656036446469,0.32304038004750596,0.5180763846864352,0.3185011709601874,0.3140877598152425,0.7326596233348645,0.5769529918460764,"[[1459  297]
 [ 285  136]]",None,"[np.float64(2.5129402756701915), np.float64(1.7362671497671094), np.float64(0.7587210854950599), np.float64(0.46243231643501675), np.float64(0.2968696039330198), np.float64(0.2012539508992472), np.float64(0.14121333594242336), np.float64(0.08978059384410601), np.float64(0.06978725895139651), np.float64(0.0807804610256072)]"
0.2,EANR-AdaBoost2_SVM | ORIG,10,10,0.3,ERR,ERR,ERR,ERR,ERR,ERR,ERR,Input y_pred contains NaN.,None,None
0.2,EANR-AdaBoost2_WSVM | ORIG,10,10,0.3,ERR,ERR,ERR,ERR,ERR,ERR,ERR,Input y_pred contains NaN.,None,None
0.2,EANR-AdaBoost_DecisionTree | ORIG,10,10,0.5,0.8900911161731208,0.31353919239904987,0.5282787613812324,0.353887399463807,0.40615384615384614,0.77859439595774,0.6018151542860853,"[[1563  193]
 [ 289  132]]",None,"[np.float64(2.113977637360075), np.float64(1.7488133281524367), np.float64(0.6199103991094296), np.float64(0.4792729921545094), np.float64(0.25739949167585996), np.float64(0.20234684393158203), np.float64(0.13912669292755125), np.float64(0.11535328675502163), np.float64(0.08214220978156041), np.float64(0.08586419203255793)]"
