Dataset,Test Size,Method,M,C,theta,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan,List of err_w,List of alpha
cm1,0.2,Decision Tree | ORIG,N/A,N/A,None,0.8777777777777778,0.3,0.5131601439446883,0.25,0.21428571428571427,0.82,0.5888888888888889,"[[79 11]
 [ 7  3]]",None,None
cm1,0.2,SVM (lib) | ORIG,N/A,10,None,1.0,0.0,0.0,0.0,0.0,0.9,0.5,"[[90  0]
 [10  0]]",None,None
cm1,0.2,SVM (lib) | ORIG,N/A,100,None,1.0,0.0,0.0,0.0,0.0,0.9,0.5,"[[90  0]
 [10  0]]",None,None
cm1,0.2,WSVM | ORIG,N/A,10,None,0.0,1.0,0.0,0.18181818181818182,0.1,0.1,0.5,"[[ 0 90]
 [ 0 10]]",None,None
cm1,0.2,WSVM | ORIG,N/A,100,None,1.0,0.0,0.0,0.0,0.0,0.9,0.5,"[[90  0]
 [10  0]]",None,None
cm1,0.2,FEARN_AdaBoost_SVM | ORIG,10,10,None,1.0,0.1,0.31622776601683794,0.18181818181818182,1.0,0.91,0.55,"[[90  0]
 [ 9  1]]",None,"[0.4412245395740079, 0.4316452577815076, 0.3537111193589223, 0.3207975792952532, 0.2451438650680742, 0.21789540313321673, 0.2799111282148705, 0.1690210771130282, 0.12141402541073328, 0.29693621824463695]"
cm1,0.2,FEARN_AdaBoost_SVM | ORIG,10,100,None,0.9222222222222223,0.3,0.5259911279353167,0.3,0.3,0.86,0.6111111111111112,"[[83  7]
 [ 7  3]]",None,"[0.4413554428697163, 0.5111771513612985, 0.3263089374495336, 0.3283192046618177, 0.22835479563838437, 0.23523059803940286, 0.16031082708644764, 0.2954649724423773, 0.18247726390337013, 0.10453977262386277]"
cm1,0.2,FEARN_AdaBoost_SVM | ORIG,15,10,None,0.9777777777777777,0.1,0.31269438398822863,0.15384615384615385,0.3333333333333333,0.89,0.5388888888888889,"[[88  2]
 [ 9  1]]",None,"[0.4412245395740079, 0.4316452577815076, 0.3537111193589223, 0.3207975792952532, 0.2451438650680742, 0.21789540313321673, 0.2799111282148705, 0.1690210771130282, 0.12141402541073328, 0.29693621824463695, 0.17780895396474722, 0.10135446403749077, 0.28248031466002665, 0.1754325830423341, 0.10199999654533377]"
cm1,0.2,FEARN_AdaBoost_SVM | ORIG,15,100,None,0.9222222222222223,0.3,0.5259911279353167,0.3,0.3,0.86,0.6111111111111112,"[[83  7]
 [ 7  3]]",None,"[0.4413554428697163, 0.5111771513612985, 0.3263089374495336, 0.3283192046618177, 0.22835479563838437, 0.23523059803940286, 0.16031082708644764, 0.2954649724423773, 0.18247726390337013, 0.10453977262386277, 0.28500795737218526, 0.1740613077118424, 0.09692615169004422, 0.18030077563476696, 0.23250679058189191]"
cm1,0.2,FEARN_AdaBoost_SVM | ORIG,20,10,None,0.9777777777777777,0.1,0.31269438398822863,0.15384615384615385,0.3333333333333333,0.89,0.5388888888888889,"[[88  2]
 [ 9  1]]",None,"[0.4412245395740079, 0.4316452577815076, 0.3537111193589223, 0.3207975792952532, 0.2451438650680742, 0.21789540313321673, 0.2799111282148705, 0.1690210771130282, 0.12141402541073328, 0.29693621824463695, 0.17780895396474722, 0.10135446403749077, 0.28248031466002665, 0.1754325830423341, 0.10199999654533377, 0.27938186780120966, 0.17884860329758814, 0.09453426607572872, 0.2749463564423826, 0.17968532075535312]"
cm1,0.2,FEARN_AdaBoost_SVM | ORIG,20,100,None,0.9222222222222223,0.4,0.6073622386096199,0.38095238095238093,0.36363636363636365,0.87,0.6611111111111111,"[[83  7]
 [ 6  4]]",None,"[0.4413554428697163, 0.5111771513612985, 0.3263089374495336, 0.3283192046618177, 0.22835479563838437, 0.23523059803940286, 0.16031082708644764, 0.2954649724423773, 0.18247726390337013, 0.10453977262386277, 0.28500795737218526, 0.1740613077118424, 0.09692615169004422, 0.18030077563476696, 0.23250679058189191, 0.16214565902910769, 0.2818042220854327, 0.17458063031008353, 0.08068706020780816, 0.19891606613432905]"
cm1,0.2,FEARN_AdaBoost_SVM | ORIG,25,10,None,1.0,0.1,0.31622776601683794,0.18181818181818182,1.0,0.91,0.55,"[[90  0]
 [ 9  1]]",None,"[0.4412245395740079, 0.4316452577815076, 0.3537111193589223, 0.3207975792952532, 0.2451438650680742, 0.21789540313321673, 0.2799111282148705, 0.1690210771130282, 0.12141402541073328, 0.29693621824463695, 0.17780895396474722, 0.10135446403749077, 0.28248031466002665, 0.1754325830423341, 0.10199999654533377, 0.27938186780120966, 0.17884860329758814, 0.09453426607572872, 0.2749463564423826, 0.17968532075535312, 0.09477861677695378, 0.274385705945136, 0.17964936000891166, 0.094766294472909, 0.2744249560048913]"
cm1,0.2,FEARN_AdaBoost_SVM | ORIG,25,100,None,0.9888888888888889,0.3,0.5446711546122731,0.42857142857142855,0.75,0.92,0.6444444444444445,"[[89  1]
 [ 7  3]]",None,"[0.4413554428697163, 0.5111771513612985, 0.3263089374495336, 0.3283192046618177, 0.22835479563838437, 0.23523059803940286, 0.16031082708644764, 0.2954649724423773, 0.18247726390337013, 0.10453977262386277, 0.28500795737218526, 0.1740613077118424, 0.09692615169004422, 0.18030077563476696, 0.23250679058189191, 0.16214565902910769, 0.2818042220854327, 0.17458063031008353, 0.08068706020780816, 0.19891606613432905, 0.17660230116238568, 0.2388171071461169, 0.1603251278240684, 0.11192789683901182, 0.2984874834385824]"
