Dataset,Test Size,Method,M,C,theta,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan,List of err_w,List of alpha
cm1,0.2,Decision Tree | SMOTE,N/A,N/A,None,0.8666666666666667,0.0,0.0,0.0,0.0,0.78,0.43333333333333335,"[[78 12]
 [10  0]]",None,None
cm1,0.2,SVM (lib) | SMOTE,N/A,10,None,0.7333333333333333,0.7,0.7164728420068226,0.34146341463414637,0.22580645161290322,0.73,0.7166666666666668,"[[66 24]
 [ 3  7]]",None,None
cm1,0.2,SVM (lib) | SMOTE,N/A,100,None,0.7333333333333333,0.7,0.7164728420068226,0.34146341463414637,0.22580645161290322,0.73,0.7166666666666668,"[[66 24]
 [ 3  7]]",None,None
cm1,0.2,WSVM | SMOTE,N/A,10,None,0.7,0.7,0.7,0.3181818181818182,0.20588235294117646,0.7,0.7,"[[63 27]
 [ 3  7]]",None,None
cm1,0.2,WSVM | SMOTE,N/A,100,None,0.7666666666666667,0.7,0.732575365861197,0.3684210526315789,0.25,0.76,0.7333333333333333,"[[69 21]
 [ 3  7]]",None,None
cm1,0.2,FEARN_AdaBoost_SVM | SMOTE,10,10,None,0.6666666666666666,0.8,0.7302967433402214,0.3333333333333333,0.21052631578947367,0.68,0.7333333333333334,"[[60 30]
 [ 2  8]]",None,"[0.24325296316862233, 0.1703414876047908, 0.11607576341564932, 0.08442137061857655, 0.06268529399237337, 0.04650161900297886, 0.03677244701557981, 0.028928319740899582, 0.023278339553971777, 0.018954263332267764]"
cm1,0.2,FEARN_AdaBoost_SVM | SMOTE,10,100,None,0.7,0.7,0.7,0.3181818181818182,0.20588235294117646,0.7,0.7,"[[63 27]
 [ 3  7]]",None,"[0.3262152199359544, 0.20971330903892127, 0.13837658425802005, 0.09901436018192239, 0.06998008596285779, 0.04865224852536777, 0.03397285601579516, 0.02447738237233121, 0.019211353038824493, 0.01497215546512856]"
cm1,0.2,FEARN_AdaBoost_SVM | SMOTE,15,10,None,0.6666666666666666,0.8,0.7302967433402214,0.3333333333333333,0.21052631578947367,0.68,0.7333333333333334,"[[60 30]
 [ 2  8]]",None,"[0.24325296316862233, 0.1703414876047908, 0.11607576341564932, 0.08442137061857655, 0.06268529399237337, 0.04650161900297886, 0.03677244701557981, 0.028928319740899582, 0.023278339553971777, 0.018954263332267764, 0.01561839476239911, 0.012885308642127604, 0.010561697417460974, 0.00833596170377237, 0.006846555197852979]"
cm1,0.2,FEARN_AdaBoost_SVM | SMOTE,15,100,None,0.7,0.7,0.7,0.3181818181818182,0.20588235294117646,0.7,0.7,"[[63 27]
 [ 3  7]]",None,"[0.3262152199359544, 0.20971330903892127, 0.13837658425802005, 0.09901436018192239, 0.06998008596285779, 0.04865224852536777, 0.03397285601579516, 0.02447738237233121, 0.019211353038824493, 0.01497215546512856, 0.012358027556107714, 0.009680675872370936, 0.007790220163871663, 0.0057681150944073455, 0.004686394022164805]"
cm1,0.2,FEARN_AdaBoost_SVM | SMOTE,20,10,None,0.6666666666666666,0.8,0.7302967433402214,0.3333333333333333,0.21052631578947367,0.68,0.7333333333333334,"[[60 30]
 [ 2  8]]",None,"[0.24325296316862233, 0.1703414876047908, 0.11607576341564932, 0.08442137061857655, 0.06268529399237337, 0.04650161900297886, 0.03677244701557981, 0.028928319740899582, 0.023278339553971777, 0.018954263332267764, 0.01561839476239911, 0.012885308642127604, 0.010561697417460974, 0.00833596170377237, 0.006846555197852979, 0.005706379070715167, 0.0048618330235466805, 0.003912375768189809, 0.0033324470199519, 0.002840742926622537]"
cm1,0.2,FEARN_AdaBoost_SVM | SMOTE,20,100,None,0.7,0.7,0.7,0.3181818181818182,0.20588235294117646,0.7,0.7,"[[63 27]
 [ 3  7]]",None,"[0.3262152199359544, 0.20971330903892127, 0.13837658425802005, 0.09901436018192239, 0.06998008596285779, 0.04865224852536777, 0.03397285601579516, 0.02447738237233121, 0.019211353038824493, 0.01497215546512856, 0.012358027556107714, 0.009680675872370936, 0.007790220163871663, 0.0057681150944073455, 0.004686394022164805, 0.003756005682567403, 0.0024865633515676346, 0.0020395881945394025, 0.0020000026666730686, 0.0020000026666730686]"
cm1,0.2,FEARN_AdaBoost_SVM | SMOTE,25,10,None,0.6666666666666666,0.8,0.7302967433402214,0.3333333333333333,0.21052631578947367,0.68,0.7333333333333334,"[[60 30]
 [ 2  8]]",None,"[0.24325296316862233, 0.1703414876047908, 0.11607576341564932, 0.08442137061857655, 0.06268529399237337, 0.04650161900297886, 0.03677244701557981, 0.028928319740899582, 0.023278339553971777, 0.018954263332267764, 0.01561839476239911, 0.012885308642127604, 0.010561697417460974, 0.00833596170377237, 0.006846555197852979, 0.005706379070715167, 0.0048618330235466805, 0.003912375768189809, 0.0033324470199519, 0.002840742926622537, 0.0022035852642172753, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686]"
cm1,0.2,FEARN_AdaBoost_SVM | SMOTE,25,100,None,0.7,0.7,0.7,0.3181818181818182,0.20588235294117646,0.7,0.7,"[[63 27]
 [ 3  7]]",None,"[0.3262152199359544, 0.20971330903892127, 0.13837658425802005, 0.09901436018192239, 0.06998008596285779, 0.04865224852536777, 0.03397285601579516, 0.02447738237233121, 0.019211353038824493, 0.01497215546512856, 0.012358027556107714, 0.009680675872370936, 0.007790220163871663, 0.0057681150944073455, 0.004686394022164805, 0.003756005682567403, 0.0024865633515676346, 0.0020395881945394025, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686]"
cm1,0.2,FEARN_AdaBoost_WSVM | SMOTE,10,10,None,0.5888888888888889,0.8,0.6863753427324667,0.2909090909090909,0.17777777777777778,0.61,0.6944444444444444,"[[53 37]
 [ 2  8]]",None,"[0.24325296316862233, 0.15289885553368415, 0.11187381147086124, 0.041736334183672515, 0.08079125609493312, 0.04269381041210997, 0.03880475779059388, 0.0072295554835396505, 0.019070408164673043, 0.024431436599630648]"
cm1,0.2,FEARN_AdaBoost_WSVM | SMOTE,10,100,None,0.6888888888888889,0.7,0.6944222218666553,0.3111111111111111,0.2,0.69,0.6944444444444444,"[[62 28]
 [ 3  7]]",None,"[0.3262152199359544, 0.21549006235500356, 0.10555723949526154, 0.10761407613292305, 0.0020000026666730686, 0.08905794854208263, 0.02478691365672891, 0.03603664744636543, 0.028841706982551698, 0.02064680205507797]"
cm1,0.2,FEARN_AdaBoost_WSVM | SMOTE,15,10,None,0.5888888888888889,0.8,0.6863753427324667,0.2909090909090909,0.17777777777777778,0.61,0.6944444444444444,"[[53 37]
 [ 2  8]]",None,"[0.24325296316862233, 0.15289885553368415, 0.11187381147086124, 0.041736334183672515, 0.08079125609493312, 0.04269381041210997, 0.03880475779059388, 0.0072295554835396505, 0.019070408164673043, 0.024431436599630648, 0.016956500330193636, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686]"
cm1,0.2,FEARN_AdaBoost_WSVM | SMOTE,15,100,None,0.7,0.7,0.7,0.3181818181818182,0.20588235294117646,0.7,0.7,"[[63 27]
 [ 3  7]]",None,"[0.3262152199359544, 0.21549006235500356, 0.10555723949526154, 0.10761407613292305, 0.0020000026666730686, 0.08905794854208263, 0.02478691365672891, 0.03603664744636543, 0.028841706982551698, 0.02064680205507797, 0.005988886690310887, 0.0020000026666730686, 0.0020000026666730686, 0.040247792571581384, 0.0020000026666730686]"
cm1,0.2,FEARN_AdaBoost_WSVM | SMOTE,20,10,None,0.5888888888888889,0.8,0.6863753427324667,0.2909090909090909,0.17777777777777778,0.61,0.6944444444444444,"[[53 37]
 [ 2  8]]",None,"[0.24325296316862233, 0.15289885553368415, 0.11187381147086124, 0.041736334183672515, 0.08079125609493312, 0.04269381041210997, 0.03880475779059388, 0.0072295554835396505, 0.019070408164673043, 0.024431436599630648, 0.016956500330193636, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.053915981125857194, 0.0020000026666730686, 0.04028820535523709, 0.0020000026666730686]"
cm1,0.2,FEARN_AdaBoost_WSVM | SMOTE,20,100,None,0.7,0.7,0.7,0.3181818181818182,0.20588235294117646,0.7,0.7,"[[63 27]
 [ 3  7]]",None,"[0.3262152199359544, 0.21549006235500356, 0.10555723949526154, 0.10761407613292305, 0.0020000026666730686, 0.08905794854208263, 0.02478691365672891, 0.03603664744636543, 0.028841706982551698, 0.02064680205507797, 0.005988886690310887, 0.0020000026666730686, 0.0020000026666730686, 0.040247792571581384, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.027011223778590495, 0.0020000026666730686, 0.01935628468487558]"
cm1,0.2,FEARN_AdaBoost_WSVM | SMOTE,25,10,None,0.5888888888888889,0.8,0.6863753427324667,0.2909090909090909,0.17777777777777778,0.61,0.6944444444444444,"[[53 37]
 [ 2  8]]",None,"[0.24325296316862233, 0.15289885553368415, 0.11187381147086124, 0.041736334183672515, 0.08079125609493312, 0.04269381041210997, 0.03880475779059388, 0.0072295554835396505, 0.019070408164673043, 0.024431436599630648, 0.016956500330193636, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.053915981125857194, 0.0020000026666730686, 0.04028820535523709, 0.0020000026666730686, 0.034032100883354566, 0.0020000026666730686, 0.02988395183697318, 0.0020000026666730686, 0.01511917418032276]"
cm1,0.2,FEARN_AdaBoost_WSVM | SMOTE,25,100,None,0.7,0.7,0.7,0.3181818181818182,0.20588235294117646,0.7,0.7,"[[63 27]
 [ 3  7]]",None,"[0.3262152199359544, 0.21549006235500356, 0.10555723949526154, 0.10761407613292305, 0.0020000026666730686, 0.08905794854208263, 0.02478691365672891, 0.03603664744636543, 0.028841706982551698, 0.02064680205507797, 0.005988886690310887, 0.0020000026666730686, 0.0020000026666730686, 0.040247792571581384, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.027011223778590495, 0.0020000026666730686, 0.01935628468487558, 0.0020000026666730686, 0.013752465300397556, 0.005356337237368394, 0.009833442476556334, 0.0057599911435147035]"
