Dataset,Test Size,Method,M,C,theta,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan,List of err_w,List of alpha
jm1,0.2,Decision Tree | ORIG,N/A,N/A,None,0.875,0.4,0.5916079783099616,0.42105263157894735,0.4444444444444444,0.78,0.6375,"[[70 10]
 [12  8]]",None,None
jm1,0.2,SVM (lib) | ORIG,N/A,10,None,1.0,0.0,0.0,0.0,0.0,0.8,0.5,"[[80  0]
 [20  0]]",None,None
jm1,0.2,SVM (lib) | ORIG,N/A,100,None,1.0,0.0,0.0,0.0,0.0,0.8,0.5,"[[80  0]
 [20  0]]",None,None
jm1,0.2,WSVM | ORIG,N/A,10,None,0.0,1.0,0.0,0.3333333333333333,0.2,0.2,0.5,"[[ 0 80]
 [ 0 20]]",None,None
jm1,0.2,WSVM | ORIG,N/A,100,None,1.0,0.0,0.0,0.0,0.0,0.8,0.5,"[[80  0]
 [20  0]]",None,None
jm1,0.2,FEARN_AdaBoost_SVM | ORIG,10,10,None,0.9375,0.3,0.5303300858899106,0.3870967741935484,0.5454545454545454,0.81,0.61875,"[[75  5]
 [14  6]]",None,"[0.3704500257988968, 0.3131837226416212, 0.21582134399280817, 0.21879446197202404, 0.10660042623237147, 0.2116383029912108, 0.15710856775060136, 0.08700130348549581, 0.27006071904760026, 0.1478902829552365]"
jm1,0.2,FEARN_AdaBoost_SVM | ORIG,10,100,None,0.9125,0.35,0.5651327277728657,0.4117647058823529,0.5,0.8,0.63125,"[[73  7]
 [13  7]]",None,"[0.37055356357656544, 0.31662813843231813, 0.2177033188983666, 0.25123523420759114, 0.1344237208900653, 0.16440883258913672, 0.26275276755571664, 0.15308116547562978, 0.07304753351031346, 0.10478726725188331]"
jm1,0.2,FEARN_AdaBoost_SVM | ORIG,15,10,None,0.925,0.3,0.5267826876426369,0.375,0.5,0.8,0.6125,"[[74  6]
 [14  6]]",None,"[0.3704500257988968, 0.3131837226416212, 0.21582134399280817, 0.21879446197202404, 0.10660042623237147, 0.2116383029912108, 0.15710856775060136, 0.08700130348549581, 0.27006071904760026, 0.1478902829552365, 0.0730542402499117, 0.14885789786297243, 0.25179644572661836, 0.14537835611249156, 0.11097845675597093]"
jm1,0.2,FEARN_AdaBoost_SVM | ORIG,15,100,None,0.9125,0.35,0.5651327277728657,0.4117647058823529,0.5,0.8,0.63125,"[[73  7]
 [13  7]]",None,"[0.37055356357656544, 0.31662813843231813, 0.2177033188983666, 0.25123523420759114, 0.1344237208900653, 0.16440883258913672, 0.26275276755571664, 0.15308116547562978, 0.07304753351031346, 0.10478726725188331, 0.2522645373024731, 0.15105007517425523, 0.11661339760153225, 0.2554471662977398, 0.14660181095374225]"
jm1,0.2,FEARN_AdaBoost_SVM | ORIG,20,10,None,0.875,0.4,0.5916079783099616,0.42105263157894735,0.4444444444444444,0.78,0.6375,"[[70 10]
 [12  8]]",None,"[0.3704500257988968, 0.3131837226416212, 0.21582134399280817, 0.21879446197202404, 0.10660042623237147, 0.2116383029912108, 0.15710856775060136, 0.08700130348549581, 0.27006071904760026, 0.1478902829552365, 0.0730542402499117, 0.14885789786297243, 0.25179644572661836, 0.14537835611249156, 0.11097845675597093, 0.26914783073733617, 0.14646303334872282, 0.06923079086563853, 0.2180710885263678, 0.11892132841789309]"
jm1,0.2,FEARN_AdaBoost_SVM | ORIG,20,100,None,0.925,0.35,0.5689903338370521,0.42424242424242425,0.5384615384615384,0.81,0.6375000000000002,"[[74  6]
 [13  7]]",None,"[0.37055356357656544, 0.31662813843231813, 0.2177033188983666, 0.25123523420759114, 0.1344237208900653, 0.16440883258913672, 0.26275276755571664, 0.15308116547562978, 0.07304753351031346, 0.10478726725188331, 0.2522645373024731, 0.15105007517425523, 0.11661339760153225, 0.2554471662977398, 0.14660181095374225, 0.20228090878676708, 0.10682577548975618, 0.12984670696145975, 0.2716743565072798, 0.15024403279093512]"
jm1,0.2,FEARN_AdaBoost_SVM | ORIG,25,10,None,1.0,0.15,0.3872983346207417,0.2608695652173913,1.0,0.83,0.575,"[[80  0]
 [17  3]]",None,"[0.3704500257988968, 0.3131837226416212, 0.21582134399280817, 0.21879446197202404, 0.10660042623237147, 0.2116383029912108, 0.15710856775060136, 0.08700130348549581, 0.27006071904760026, 0.1478902829552365, 0.0730542402499117, 0.14885789786297243, 0.25179644572661836, 0.14537835611249156, 0.11097845675597093, 0.26914783073733617, 0.14646303334872282, 0.06923079086563853, 0.2180710885263678, 0.11892132841789309, 0.12677711063864142, 0.2726848417294968, 0.15201100406571286, 0.07148080997631703, 0.14778709743277849]"
jm1,0.2,FEARN_AdaBoost_SVM | ORIG,25,100,None,0.95,0.1,0.3082207001484488,0.15384615384615385,0.3333333333333333,0.78,0.5249999999999999,"[[76  4]
 [18  2]]",None,"[0.37055356357656544, 0.31662813843231813, 0.2177033188983666, 0.25123523420759114, 0.1344237208900653, 0.16440883258913672, 0.26275276755571664, 0.15308116547562978, 0.07304753351031346, 0.10478726725188331, 0.2522645373024731, 0.15105007517425523, 0.11661339760153225, 0.2554471662977398, 0.14660181095374225, 0.20228090878676708, 0.10682577548975618, 0.12984670696145975, 0.2716743565072798, 0.15024403279093512, 0.08154956691150296, 0.21528000109230772, 0.11971089379952303, 0.10660214375132467, 0.26765820029803483]"
jm1,0.2,FEARN_AdaBoost_WSVM | ORIG,10,10,None,1.0,0.0,0.0,0.0,0.0,0.8,0.5,"[[80  0]
 [20  0]]",None,"[0.3704500257988968, 0.29751577517320893, 0.06356958173140258, 0.29175284874928287, 0.11173022691579436, 0.2608555611801895, 0.14456906674791603, 0.24116913523132616, 0.19489751636642394, 0.23098036078863454]"
jm1,0.2,FEARN_AdaBoost_WSVM | ORIG,10,100,None,0.9875,0.0,0.0,0.0,0.0,0.79,0.49375,"[[79  1]
 [20  0]]",None,"[0.37055356357656544, 0.30835126721091377, 0.12448730371172326, 0.30630144715076835, 0.07998332208395012, 0.25460073593548255, 0.1663324077216211, 0.23707803583068118, 0.19278536268403493, 0.2308339494330363]"
jm1,0.2,FEARN_AdaBoost_WSVM | ORIG,15,10,None,0.925,0.2,0.4301162633521314,0.26666666666666666,0.4,0.78,0.5625,"[[74  6]
 [16  4]]",None,"[0.3704500257988968, 0.29751577517320893, 0.06356958173140258, 0.29175284874928287, 0.11173022691579436, 0.2608555611801895, 0.14456906674791603, 0.24116913523132616, 0.19489751636642394, 0.23098036078863454, 0.2133732542186908, 0.22066539719217892, 0.11867818189929048, 0.2560563369208852, 0.1472232437321835]"
jm1,0.2,FEARN_AdaBoost_WSVM | ORIG,15,100,None,0.95,0.1,0.3082207001484488,0.15384615384615385,0.3333333333333333,0.78,0.5249999999999999,"[[76  4]
 [18  2]]",None,"[0.37055356357656544, 0.30835126721091377, 0.12448730371172326, 0.30630144715076835, 0.07998332208395012, 0.25460073593548255, 0.1663324077216211, 0.23707803583068118, 0.19278536268403493, 0.2308339494330363, 0.21228006442962327, 0.22651531474860467, 0.21951468835578117, 0.22430000453427346, 0.2219409748729788]"
jm1,0.2,FEARN_AdaBoost_WSVM | ORIG,20,10,None,0.925,0.2,0.4301162633521314,0.26666666666666666,0.4,0.78,0.5625,"[[74  6]
 [16  4]]",None,"[0.3704500257988968, 0.29751577517320893, 0.06356958173140258, 0.29175284874928287, 0.11173022691579436, 0.2608555611801895, 0.14456906674791603, 0.24116913523132616, 0.19489751636642394, 0.23098036078863454, 0.2133732542186908, 0.22066539719217892, 0.11867818189929048, 0.2560563369208852, 0.1472232437321835, 0.24875765858704255, 0.2004626888461334, 0.23705761167162545, 0.21929976492755843, 0.23276972879189228]"
jm1,0.2,FEARN_AdaBoost_WSVM | ORIG,20,100,None,0.95,0.2,0.43588989435406733,0.2857142857142857,0.5,0.8,0.575,"[[76  4]
 [16  4]]",None,"[0.37055356357656544, 0.30835126721091377, 0.12448730371172326, 0.30630144715076835, 0.07998332208395012, 0.25460073593548255, 0.1663324077216211, 0.23707803583068118, 0.19278536268403493, 0.2308339494330363, 0.21228006442962327, 0.22651531474860467, 0.21951468835578117, 0.22430000453427346, 0.2219409748729788, 0.21651166832554297, 0.14788757192268784, 0.2402087817284925, 0.15671777102748588, 0.24265272277963595]"
jm1,0.2,FEARN_AdaBoost_WSVM | ORIG,25,10,None,0.925,0.2,0.4301162633521314,0.26666666666666666,0.4,0.78,0.5625,"[[74  6]
 [16  4]]",None,"[0.3704500257988968, 0.29751577517320893, 0.06356958173140258, 0.29175284874928287, 0.11173022691579436, 0.2608555611801895, 0.14456906674791603, 0.24116913523132616, 0.19489751636642394, 0.23098036078863454, 0.2133732542186908, 0.22066539719217892, 0.11867818189929048, 0.2560563369208852, 0.1472232437321835, 0.24875765858704255, 0.2004626888461334, 0.23705761167162545, 0.21929976492755843, 0.23276972879189228, 0.2261858716204476, 0.23064988056588254, 0.22844868558105907, 0.23066314509187139, 0.22957229039798427]"
jm1,0.2,FEARN_AdaBoost_WSVM | ORIG,25,100,None,0.95,0.2,0.43588989435406733,0.2857142857142857,0.5,0.8,0.575,"[[76  4]
 [16  4]]",None,"[0.37055356357656544, 0.30835126721091377, 0.12448730371172326, 0.30630144715076835, 0.07998332208395012, 0.25460073593548255, 0.1663324077216211, 0.23707803583068118, 0.19278536268403493, 0.2308339494330363, 0.21228006442962327, 0.22651531474860467, 0.21951468835578117, 0.22430000453427346, 0.2219409748729788, 0.21651166832554297, 0.14788757192268784, 0.2402087817284925, 0.15671777102748588, 0.24265272277963595, 0.20151209960664568, 0.23257590155059904, 0.21743962160091287, 0.22788648559490232, 0.22275097020665274]"
