Dataset,Test Size,Method,M,C,theta,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan,List of err_w,List of alpha
jm1,0.2,Decision Tree | SMOTE,N/A,N/A,None,0.85,0.4,0.5830951894845301,0.4,0.4,0.76,0.625,"[[68 12]
 [12  8]]",None,None
jm1,0.2,SVM (lib) | SMOTE,N/A,10,None,0.65,0.65,0.65,0.4262295081967213,0.3170731707317073,0.65,0.65,"[[52 28]
 [ 7 13]]",None,None
jm1,0.2,SVM (lib) | SMOTE,N/A,100,None,0.6625,0.7,0.6809919235938118,0.45901639344262296,0.34146341463414637,0.67,0.68125,"[[53 27]
 [ 6 14]]",None,None
jm1,0.2,WSVM | SMOTE,N/A,10,None,0.675,0.6,0.6363961030678927,0.41379310344827586,0.3157894736842105,0.66,0.6375000000000001,"[[54 26]
 [ 8 12]]",None,None
jm1,0.2,WSVM | SMOTE,N/A,100,None,0.7,0.55,0.6204836822995429,0.4,0.3142857142857143,0.67,0.625,"[[56 24]
 [ 9 11]]",None,None
jm1,0.2,FEARN_AdaBoost_SVM | SMOTE,10,10,None,0.6,0.75,0.6708203932499369,0.44776119402985076,0.3191489361702128,0.63,0.675,"[[48 32]
 [ 5 15]]",None,"[0.1794435184917338, 0.13010582679071916, 0.09289547573292296, 0.0723665093635475, 0.06669732363957666, 0.03292243160836802, 0.058021891356749275, 0.003635305309661321, 0.0028016328325695524, 0.004170859947531502]"
jm1,0.2,FEARN_AdaBoost_SVM | SMOTE,10,100,None,0.65,0.65,0.65,0.4262295081967213,0.3170731707317073,0.65,0.65,"[[52 28]
 [ 7 13]]",None,"[0.2111263793622988, 0.12725194053047476, 0.09296138623535313, 0.0835724898000341, 0.05188551963229881, 0.059304158022308026, 0.050418150158994354, 0.022648178460592642, 0.031337865737466275, 0.05241966287511139]"
jm1,0.2,FEARN_AdaBoost_SVM | SMOTE,15,10,None,0.625,0.65,0.6373774391990981,0.4126984126984127,0.3023255813953488,0.63,0.6375,"[[50 30]
 [ 7 13]]",None,"[0.1794435184917338, 0.13010582679071916, 0.09289547573292296, 0.0723665093635475, 0.06669732363957666, 0.03292243160836802, 0.058021891356749275, 0.003635305309661321, 0.0028016328325695524, 0.004170859947531502, 0.00874889170932595, 0.0355933559701731, 0.01192886671250123, 0.053213006920171266, 0.0020000026666730686]"
jm1,0.2,FEARN_AdaBoost_SVM | SMOTE,15,100,None,0.65,0.65,0.65,0.4262295081967213,0.3170731707317073,0.65,0.65,"[[52 28]
 [ 7 13]]",None,"[0.2111263793622988, 0.12725194053047476, 0.09296138623535313, 0.0835724898000341, 0.05188551963229881, 0.059304158022308026, 0.050418150158994354, 0.022648178460592642, 0.031337865737466275, 0.05241966287511139, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686]"
jm1,0.2,FEARN_AdaBoost_SVM | SMOTE,20,10,None,0.625,0.7,0.6614378277661477,0.4375,0.3181818181818182,0.64,0.6625,"[[50 30]
 [ 6 14]]",None,"[0.1794435184917338, 0.13010582679071916, 0.09289547573292296, 0.0723665093635475, 0.06669732363957666, 0.03292243160836802, 0.058021891356749275, 0.003635305309661321, 0.0028016328325695524, 0.004170859947531502, 0.00874889170932595, 0.0355933559701731, 0.01192886671250123, 0.053213006920171266, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686]"
