Dataset,Test Size,Method,M,C,theta,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan,List of err_w,List of alpha
kc1,0.2,Decision Tree | ORIG,N/A,N/A,None,0.9103641456582633,0.3230769230769231,0.5423261445466404,0.3559322033898305,0.39622641509433965,0.8199052132701422,0.6167205343675931,"[[325  32]
 [ 44  21]]",None,None
kc1,0.2,SVM (lib) | ORIG,N/A,10,None,1.0,0.0,0.0,0.0,0.0,0.8459715639810427,0.5,"[[357   0]
 [ 65   0]]",None,None
kc1,0.2,SVM (lib) | ORIG,N/A,100,None,1.0,0.0,0.0,0.0,0.0,0.8459715639810427,0.5,"[[357   0]
 [ 65   0]]",None,None
kc1,0.2,WSVM | ORIG,N/A,10,None,1.0,0.0,0.0,0.0,0.0,0.8459715639810427,0.5,"[[357   0]
 [ 65   0]]",None,None
kc1,0.2,WSVM | ORIG,N/A,100,None,1.0,0.0,0.0,0.0,0.0,0.8459715639810427,0.5,"[[357   0]
 [ 65   0]]",None,None
kc1,0.2,FEARN_AdaBoost_SVM | ORIG,10,10,None,0.9159663865546218,0.4307692307692308,0.6281481797686007,0.45528455284552843,0.4827586206896552,0.8412322274881516,0.6733678086619264,"[[327  30]
 [ 37  28]]",None,"[0.40026463286985325, 0.352497996407017, 0.2531910157407655, 0.3031840270242073, 0.20933118199587653, 0.1777511233522527, 0.2291969515398301, 0.11067576649238228, 0.1786595942131673, 0.2613511088261965]"
kc1,0.2,FEARN_AdaBoost_SVM | ORIG,10,100,None,0.9439775910364145,0.2923076923076923,0.5252922150822615,0.36538461538461536,0.48717948717948717,0.8436018957345972,0.6181426416720535,"[[337  20]
 [ 46  19]]",None,"[0.41065082166120276, 0.34246288365624145, 0.2739382524860701, 0.23171354809238354, 0.22877311335824177, 0.1579533260049946, 0.2902392394034693, 0.151395321064593, 0.07714714067461044, 0.20875759553485973]"
kc1,0.2,FEARN_AdaBoost_SVM | ORIG,15,10,None,0.9159663865546218,0.4307692307692308,0.6281481797686007,0.45528455284552843,0.4827586206896552,0.8412322274881516,0.6733678086619264,"[[327  30]
 [ 37  28]]",None,"[0.40026463286985325, 0.352497996407017, 0.2531910157407655, 0.3031840270242073, 0.20933118199587653, 0.1777511233522527, 0.2291969515398301, 0.11067576649238228, 0.1786595942131673, 0.2613511088261965, 0.13501448893061108, 0.12043375870272106, 0.2745867273704761, 0.1603458053829957, 0.07931976158875928]"
kc1,0.2,FEARN_AdaBoost_SVM | ORIG,15,100,None,0.9243697478991597,0.3076923076923077,0.5333117858176858,0.35714285714285715,0.425531914893617,0.8293838862559242,0.6160310277957337,"[[330  27]
 [ 45  20]]",None,"[0.41065082166120276, 0.34246288365624145, 0.2739382524860701, 0.23171354809238354, 0.22877311335824177, 0.1579533260049946, 0.2902392394034693, 0.151395321064593, 0.07714714067461044, 0.20875759553485973, 0.1342001419699159, 0.1943310989524053, 0.15040909964930912, 0.2716650270616105, 0.16290661512893143]"
kc1,0.2,FEARN_AdaBoost_SVM | ORIG,20,10,None,0.9495798319327731,0.24615384615384617,0.48346946941908847,0.32323232323232326,0.47058823529411764,0.8412322274881516,0.5978668390433096,"[[339  18]
 [ 49  16]]",None,"[0.40026463286985325, 0.352497996407017, 0.2531910157407655, 0.3031840270242073, 0.20933118199587653, 0.1777511233522527, 0.2291969515398301, 0.11067576649238228, 0.1786595942131673, 0.2613511088261965, 0.13501448893061108, 0.12043375870272106, 0.2745867273704761, 0.1603458053829957, 0.07931976158875928, 0.23709371004349436, 0.14740941893216172, 0.08503515919539675, 0.2646476735213195, 0.16623009025846056]"
kc1,0.2,FEARN_AdaBoost_SVM | ORIG,20,100,None,0.9439775910364145,0.27692307692307694,0.5112818978374238,0.34951456310679613,0.47368421052631576,0.8412322274881516,0.6104503339797457,"[[337  20]
 [ 47  18]]",None,"[0.41065082166120276, 0.34246288365624145, 0.2739382524860701, 0.23171354809238354, 0.22877311335824177, 0.1579533260049946, 0.2902392394034693, 0.151395321064593, 0.07714714067461044, 0.20875759553485973, 0.1342001419699159, 0.1943310989524053, 0.15040909964930912, 0.2716650270616105, 0.16290661512893143, 0.07657230216680207, 0.14524949369632414, 0.2162262685621188, 0.14760683045113931, 0.2413415611565848]"
kc1,0.2,FEARN_AdaBoost_SVM | ORIG,25,10,None,0.9411764705882353,0.35384615384615387,0.5770889655920869,0.42201834862385323,0.5227272727272727,0.8507109004739336,0.6475113122171946,"[[336  21]
 [ 42  23]]",None,"[0.40026463286985325, 0.352497996407017, 0.2531910157407655, 0.3031840270242073, 0.20933118199587653, 0.1777511233522527, 0.2291969515398301, 0.11067576649238228, 0.1786595942131673, 0.2613511088261965, 0.13501448893061108, 0.12043375870272106, 0.2745867273704761, 0.1603458053829957, 0.07931976158875928, 0.23709371004349436, 0.14740941893216172, 0.08503515919539675, 0.2646476735213195, 0.16623009025846056, 0.08328663840739005, 0.13936367876098923, 0.23144622197117024, 0.12191364498330737, 0.15184258054045616]"
kc1,0.2,FEARN_AdaBoost_SVM | ORIG,25,100,None,0.907563025210084,0.35384615384615387,0.5666901144748938,0.38016528925619836,0.4107142857142857,0.8222748815165877,0.630704589528119,"[[324  33]
 [ 42  23]]",None,"[0.41065082166120276, 0.34246288365624145, 0.2739382524860701, 0.23171354809238354, 0.22877311335824177, 0.1579533260049946, 0.2902392394034693, 0.151395321064593, 0.07714714067461044, 0.20875759553485973, 0.1342001419699159, 0.1943310989524053, 0.15040909964930912, 0.2716650270616105, 0.16290661512893143, 0.07657230216680207, 0.14524949369632414, 0.2162262685621188, 0.14760683045113931, 0.2413415611565848, 0.15013302613133842, 0.08860134413378207, 0.27691339109744495, 0.16535872962599918, 0.0770379804742574]"
