Dataset,Test Size,Method,M,C,theta,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan,List of err_w,List of alpha
kc1,0.2,Decision Tree | SMOTE,N/A,N/A,None,0.8991596638655462,0.3230769230769231,0.5389784203069369,0.3442622950819672,0.3684210526315789,0.8104265402843602,0.6111182934712347,"[[321  36]
 [ 44  21]]",None,None
kc1,0.2,SVM (lib) | SMOTE,N/A,10,None,0.6974789915966386,0.7384615384615385,0.7176777892474145,0.4343891402714932,0.3076923076923077,0.7037914691943128,0.7179702650290886,"[[249 108]
 [ 17  48]]",None,None
kc1,0.2,SVM (lib) | SMOTE,N/A,100,None,0.7170868347338936,0.7384615384615385,0.7276957105742111,0.4485981308411215,0.3221476510067114,0.7203791469194313,0.727774186597716,"[[256 101]
 [ 17  48]]",None,None
kc1,0.2,WSVM | SMOTE,N/A,10,None,0.6890756302521008,0.8307692307692308,0.7566127353450778,0.46956521739130436,0.32727272727272727,0.7109004739336493,0.7599224305106659,"[[246 111]
 [ 11  54]]",None,None
kc1,0.2,WSVM | SMOTE,N/A,100,None,0.711484593837535,0.7692307692307693,0.7397944588961778,0.45871559633027525,0.32679738562091504,0.7203791469194313,0.7403576815341522,"[[254 103]
 [ 15  50]]",None,None
kc1,0.2,FEARN_AdaBoost_SVM | SMOTE,10,10,None,0.7002801120448179,0.8615384615384616,0.7767356373806173,0.49122807017543857,0.34355828220858897,0.7251184834123223,0.7809092867916397,"[[250 107]
 [  9  56]]",None,"[0.19381072652011305, 0.1440292209213468, 0.11196224082988714, 0.08753458985074332, 0.06648835536258184, 0.05490900761446752, 0.042882041963323674, 0.04010805991397693, 0.0020000026666730686, 0.0020000026666730686]"
kc1,0.2,FEARN_AdaBoost_SVM | SMOTE,10,100,None,0.6582633053221288,0.8615384615384616,0.7530731407734905,0.4609053497942387,0.3146067415730337,0.6895734597156398,0.7599008834302953,"[[235 122]
 [  9  56]]",None,"[0.20571376049275297, 0.1525306545713971, 0.1140294806031865, 0.09498243592265482, 0.05583520502106586, 0.07357563848629071, 0.035049196148970424, 0.034799984203651595, 0.05827486081099813, 0.023515865173073493]"
kc1,0.2,FEARN_AdaBoost_SVM | SMOTE,15,10,None,0.7002801120448179,0.8615384615384616,0.7767356373806173,0.49122807017543857,0.34355828220858897,0.7251184834123223,0.7809092867916397,"[[250 107]
 [  9  56]]",None,"[0.19381072652011305, 0.1440292209213468, 0.11196224082988714, 0.08753458985074332, 0.06648835536258184, 0.05490900761446752, 0.042882041963323674, 0.04010805991397693, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.003094888516208923, 0.01351220226889371, 0.041508175893964536, 0.0020000026666730686]"
kc1,0.2,FEARN_AdaBoost_SVM | SMOTE,15,100,None,0.6582633053221288,0.8615384615384616,0.7530731407734905,0.4609053497942387,0.3146067415730337,0.6895734597156398,0.7599008834302953,"[[235 122]
 [  9  56]]",None,"[0.20571376049275297, 0.1525306545713971, 0.1140294806031865, 0.09498243592265482, 0.05583520502106586, 0.07357563848629071, 0.035049196148970424, 0.034799984203651595, 0.05827486081099813, 0.023515865173073493, 0.020350581854642162, 0.032142135228365454, 0.038624191241529396, 0.0065984834872172505, 0.006772662376747608]"
kc1,0.2,FEARN_AdaBoost_SVM | SMOTE,20,10,None,0.7002801120448179,0.8615384615384616,0.7767356373806173,0.49122807017543857,0.34355828220858897,0.7251184834123223,0.7809092867916397,"[[250 107]
 [  9  56]]",None,"[0.19381072652011305, 0.1440292209213468, 0.11196224082988714, 0.08753458985074332, 0.06648835536258184, 0.05490900761446752, 0.042882041963323674, 0.04010805991397693, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.003094888516208923, 0.01351220226889371, 0.041508175893964536, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686]"
