Dataset,Test Size,Method,M,C,theta,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan,List of err_w,List of alpha
pc1,0.2,Decision Tree | ORIG,N/A,N/A,None,0.9565217391304348,0.4666666666666667,0.6681143701449647,0.45161290322580644,0.4375,0.9234234234234234,0.7115942028985508,"[[198   9]
 [  8   7]]",None,None
pc1,0.2,SVM (lib) | ORIG,N/A,10,None,1.0,0.0,0.0,0.0,0.0,0.9324324324324325,0.5,"[[207   0]
 [ 15   0]]",None,None
pc1,0.2,SVM (lib) | ORIG,N/A,100,None,1.0,0.0,0.0,0.0,0.0,0.9324324324324325,0.5,"[[207   0]
 [ 15   0]]",None,None
pc1,0.2,WSVM | ORIG,N/A,10,None,0.0,1.0,0.0,0.12658227848101267,0.06756756756756757,0.06756756756756757,0.5,"[[  0 207]
 [  0  15]]",None,None
pc1,0.2,WSVM | ORIG,N/A,100,None,1.0,0.0,0.0,0.0,0.0,0.9324324324324325,0.5,"[[207   0]
 [ 15   0]]",None,None
pc1,0.2,FEARN_AdaBoost_SVM | ORIG,10,10,None,0.9951690821256038,0.06666666666666667,0.25757446588324756,0.11764705882352941,0.5,0.9324324324324325,0.5309178743961352,"[[206   1]
 [ 14   1]]",None,"[0.4563381163659017, 0.4460611490256502, 0.3991127936462054, 0.2812937127097587, 0.3116682950662688, 0.2353238963595571, 0.21644545192243536, 0.2701259865896397, 0.1642503322639162, 0.16779010845350312]"
pc1,0.2,FEARN_AdaBoost_SVM | ORIG,10,100,None,1.0,0.2,0.4472135954999579,0.3333333333333333,1.0,0.9459459459459459,0.6,"[[207   0]
 [ 12   3]]",None,"[0.45640064703750066, 0.5195027511547176, 0.4060524071235017, 0.3286211755987072, 0.2562549310863064, 0.20882701602103834, 0.2894487547010236, 0.15701265099172876, 0.145152784082074, 0.283528109579883]"
pc1,0.2,FEARN_AdaBoost_SVM | ORIG,15,10,None,0.9951690821256038,0.06666666666666667,0.25757446588324756,0.11764705882352941,0.5,0.9324324324324325,0.5309178743961352,"[[206   1]
 [ 14   1]]",None,"[0.4563381163659017, 0.4460611490256502, 0.3991127936462054, 0.2812937127097587, 0.3116682950662688, 0.2353238963595571, 0.21644545192243536, 0.2701259865896397, 0.1642503322639162, 0.16779010845350312, 0.2677331600779053, 0.14834968790339417, 0.10068123040079378, 0.274271406608028, 0.15716446958459163]"
pc1,0.2,FEARN_AdaBoost_SVM | ORIG,15,100,None,0.9855072463768116,0.2,0.44396108982135174,0.2857142857142857,0.5,0.9324324324324325,0.5927536231884059,"[[204   3]
 [ 12   3]]",None,"[0.45640064703750066, 0.5195027511547176, 0.4060524071235017, 0.3286211755987072, 0.2562549310863064, 0.20882701602103834, 0.2894487547010236, 0.15701265099172876, 0.145152784082074, 0.283528109579883, 0.15084546648183797, 0.10592217691931198, 0.26143317425100315, 0.15006205704364195, 0.08951055543210579]"
pc1,0.2,FEARN_AdaBoost_SVM | ORIG,20,10,None,0.9951690821256038,0.06666666666666667,0.25757446588324756,0.11764705882352941,0.5,0.9324324324324325,0.5309178743961352,"[[206   1]
 [ 14   1]]",None,"[0.4563381163659017, 0.4460611490256502, 0.3991127936462054, 0.2812937127097587, 0.3116682950662688, 0.2353238963595571, 0.21644545192243536, 0.2701259865896397, 0.1642503322639162, 0.16779010845350312, 0.2677331600779053, 0.14834968790339417, 0.10068123040079378, 0.274271406608028, 0.15716446958459163, 0.10058269511344399, 0.2641897920942544, 0.15960879184368665, 0.0989832942811286, 0.2607244399162991]"
