Dataset,Test Size,Method,M,C,theta,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan,List of err_w,List of alpha
pc1,0.2,Decision Tree | SMOTE,N/A,N/A,None,0.9371980676328503,0.5333333333333333,0.706992906190852,0.4444444444444444,0.38095238095238093,0.9099099099099099,0.7352657004830917,"[[194  13]
 [  7   8]]",None,None
pc1,0.2,SVM (lib) | SMOTE,N/A,10,None,0.7342995169082126,0.8666666666666667,0.7977423861459189,0.3132530120481928,0.19117647058823528,0.7432432432432432,0.8004830917874395,"[[152  55]
 [  2  13]]",None,None
pc1,0.2,SVM (lib) | SMOTE,N/A,100,None,0.7439613526570048,0.8666666666666667,0.8029735398106658,0.32098765432098764,0.19696969696969696,0.7522522522522522,0.8053140096618356,"[[154  53]
 [  2  13]]",None,None
pc1,0.2,WSVM | SMOTE,N/A,10,None,0.7053140096618358,0.7333333333333333,0.719187231360522,0.25287356321839083,0.1527777777777778,0.7072072072072072,0.7193236714975846,"[[146  61]
 [  4  11]]",None,None
pc1,0.2,WSVM | SMOTE,N/A,100,None,0.8164251207729468,0.7333333333333333,0.7737646639860819,0.34375,0.22448979591836735,0.8108108108108109,0.77487922705314,"[[169  38]
 [  4  11]]",None,None
pc1,0.2,FEARN_AdaBoost_SVM | SMOTE,10,10,None,0.6666666666666666,0.8666666666666667,0.7601169500660919,0.26804123711340205,0.15853658536585366,0.6801801801801802,0.7666666666666668,"[[138  69]
 [  2  13]]",None,"[0.17152127838907338, 0.11052585441238119, 0.08023149421537339, 0.05353205793800203, 0.042517782414644226, 0.029231614416882032, 0.02347813486403775, 0.016859779891671672, 0.01221138300659239, 0.010172926570536632]"
pc1,0.2,FEARN_AdaBoost_SVM | SMOTE,10,100,None,0.6956521739130435,0.8666666666666667,0.7764654214610189,0.2857142857142857,0.17105263157894737,0.7072072072072072,0.7811594202898551,"[[144  63]
 [  2  13]]",None,"[0.2711234040701684, 0.16321754117006093, 0.09651702163062956, 0.06573217085444791, 0.04437163983928522, 0.02436125829626595, 0.01990118895609334, 0.012020415039495046, 0.010526568317124882, 0.005584972471436178]"
pc1,0.2,FEARN_AdaBoost_SVM | SMOTE,15,10,None,0.7101449275362319,0.8,0.7537346628814318,0.27586206896551724,0.16666666666666666,0.7162162162162162,0.7550724637681161,"[[147  60]
 [  3  12]]",None,"[0.17152127838907338, 0.11052585441238119, 0.08023149421537339, 0.05353205793800203, 0.042517782414644226, 0.029231614416882032, 0.02347813486403775, 0.016859779891671672, 0.01221138300659239, 0.010172926570536632, 0.0070868947315779075, 0.005353405118513646, 0.004352078764645446, 0.003226337227243859, 0.0025309245027409564]"
pc1,0.2,FEARN_AdaBoost_SVM | SMOTE,15,100,None,0.6956521739130435,0.8666666666666667,0.7764654214610189,0.2857142857142857,0.17105263157894737,0.7072072072072072,0.7811594202898551,"[[144  63]
 [  2  13]]",None,"[0.2711234040701684, 0.16321754117006093, 0.09651702163062956, 0.06573217085444791, 0.04437163983928522, 0.02436125829626595, 0.01990118895609334, 0.012020415039495046, 0.010526568317124882, 0.005584972471436178, 0.0052038843917327285, 0.0032139611746065267, 0.0025630727428663396, 0.0020000026666730686, 0.0020000026666730686]"
pc1,0.2,FEARN_AdaBoost_SVM | SMOTE,20,10,None,0.7101449275362319,0.8,0.7537346628814318,0.27586206896551724,0.16666666666666666,0.7162162162162162,0.7550724637681161,"[[147  60]
 [  3  12]]",None,"[0.17152127838907338, 0.11052585441238119, 0.08023149421537339, 0.05353205793800203, 0.042517782414644226, 0.029231614416882032, 0.02347813486403775, 0.016859779891671672, 0.01221138300659239, 0.010172926570536632, 0.0070868947315779075, 0.005353405118513646, 0.004352078764645446, 0.003226337227243859, 0.0025309245027409564, 0.0020591495256139106, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686]"
