Test Size,Method,M,C,theta,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan,List of err_w,List of alpha
0.2,FEARN_AdaBoost_SVM | ORIG,10,10,None,0.14795918367346939,0.875,0.35981145856446217,0.04011461318051576,0.020527859237536656,0.1625,0.5114795918367347,"[[ 58 334]
 [  1   7]]",None,"[0.5151267398756737, 0.36103480922001024, 0.2689602160414802, 0.2505463896358809, 0.12855965784552068, 0.21513036515053605, 0.11733669723723864, 0.15574913672228835, 0.27409792559167917, 0.14311422342504637]"
0.2,FEARN_AdaBoost_WSVM | ORIG,10,10,None,0.19642857142857142,0.875,0.414578098794425,0.04242424242424243,0.021739130434782608,0.21,0.5357142857142857,"[[ 77 315]
 [  1   7]]",None,"[0.5151267398756737, 0.36520608184870773, 0.285855657654222, 0.2617030663827676, 0.22874440029473822, 0.12883615005015364, 0.2678223150503072, 0.16853445225918054, 0.2440968901252973, 0.20701638023906344]"
0.2,FEARN_AdaBoost_SVM | ORIG,10,100,None,0.30612244897959184,0.875,0.5175491695067657,0.04878048780487805,0.025089605734767026,0.3175,0.590561224489796,"[[120 272]
 [  1   7]]",None,"[0.5889522882868818, 0.3874895899839118, 0.2433214546373822, 0.20101144724238482, 0.20344059258599118, 0.13608163449448485, 0.2312362043586591, 0.16909488166463188, 0.14210102056773868, 0.24078870169739236]"
0.2,FEARN_AdaBoost_WSVM | ORIG,10,100,None,0.1683673469387755,0.875,0.38382473678936924,0.04105571847507331,0.021021021021021023,0.1825,0.5216836734693877,"[[ 66 326]
 [  1   7]]",None,"[0.5889522882868818, 0.3993486138062936, 0.236721028498656, 0.25883272730143303, 0.1857246642066892, 0.23760703499301677, 0.21234224368148455, 0.21505360932753884, 0.17104161720344335, 0.20850229562923478]"
0.2,FEARN_AdaBoost_SVM | ORIG,15,10,None,0.18622448979591838,0.875,0.4036662341234756,0.041916167664670656,0.02147239263803681,0.2,0.5306122448979592,"[[ 73 319]
 [  1   7]]",None,"[0.5151267398756737, 0.36103480922001024, 0.2689602160414802, 0.2505463896358809, 0.12855965784552068, 0.21513036515053605, 0.11733669723723864, 0.15574913672228835, 0.27409792559167917, 0.14311422342504637, 0.08251832286393233, 0.21731700155630124, 0.13163458199522168, 0.15725732185222713, 0.23407942982839164]"
0.2,FEARN_AdaBoost_WSVM | ORIG,15,10,None,0.19642857142857142,0.875,0.414578098794425,0.04242424242424243,0.021739130434782608,0.21,0.5357142857142857,"[[ 77 315]
 [  1   7]]",None,"[0.5151267398756737, 0.36520608184870773, 0.285855657654222, 0.2617030663827676, 0.22874440029473822, 0.12883615005015364, 0.2678223150503072, 0.16853445225918054, 0.2440968901252973, 0.20701638023906344, 0.24057051973577714, 0.1747455682427286, 0.2392720813322226, 0.21103810174278645, 0.2314048517294336]"
0.2,FEARN_AdaBoost_SVM | ORIG,15,100,None,0.2857142857142857,0.875,0.5,0.04745762711864407,0.024390243902439025,0.2975,0.5803571428571428,"[[112 280]
 [  1   7]]",None,"[0.5889522882868818, 0.3874895899839118, 0.2433214546373822, 0.20101144724238482, 0.20344059258599118, 0.13608163449448485, 0.2312362043586591, 0.16909488166463188, 0.14210102056773868, 0.24078870169739236, 0.16495325043090545, 0.14723018840865165, 0.21645211403945408, 0.16170421231791218, 0.17541633273757695]"
0.2,FEARN_AdaBoost_WSVM | ORIG,15,100,None,0.29846938775510207,0.875,0.5110388579019352,0.04827586206896552,0.024822695035460994,0.31,0.5867346938775511,"[[117 275]
 [  1   7]]",None,"[0.5889522882868818, 0.3993486138062936, 0.236721028498656, 0.25883272730143303, 0.1857246642066892, 0.23760703499301677, 0.21234224368148455, 0.21505360932753884, 0.17104161720344335, 0.20850229562923478, 0.25728871872096515, 0.1819884536232622, 0.23531186014523656, 0.2078610664512705, 0.21262467610652253]"
0.2,FEARN_AdaBoost_SVM | ORIG,20,10,None,0.18877551020408162,0.875,0.40642166702646576,0.042042042042042045,0.021538461538461538,0.2025,0.5318877551020408,"[[ 74 318]
 [  1   7]]",None,"[0.5151267398756737, 0.36103480922001024, 0.2689602160414802, 0.2505463896358809, 0.12855965784552068, 0.21513036515053605, 0.11733669723723864, 0.15574913672228835, 0.27409792559167917, 0.14311422342504637, 0.08251832286393233, 0.21731700155630124, 0.13163458199522168, 0.15725732185222713, 0.23407942982839164, 0.12228824015034417, 0.2490348693091517, 0.15447578869295425, 0.07916257901034547, 0.15286747037156628]"
0.2,FEARN_AdaBoost_WSVM | ORIG,20,10,None,0.29846938775510207,0.875,0.5110388579019352,0.04827586206896552,0.024822695035460994,0.31,0.5867346938775511,"[[117 275]
 [  1   7]]",None,"[0.5151267398756737, 0.36520608184870773, 0.285855657654222, 0.2617030663827676, 0.22874440029473822, 0.12883615005015364, 0.2678223150503072, 0.16853445225918054, 0.2440968901252973, 0.20701638023906344, 0.24057051973577714, 0.1747455682427286, 0.2392720813322226, 0.21103810174278645, 0.2314048517294336, 0.21999137119914278, 0.20138272386591938, 0.21502317202603188, 0.11450495703276017, 0.2530743563349701]"
