CommonNeighbor,AdamicAdar,JaccardCoefficient,PreferentialAttachment,ResourceAllocation,ShortestPath,CommonCountry,Label
6,1.3217348,0.6,1.5625,0.321519796,1,6,1
2,1.36535884,0.1,1.333333333,0.5,1,2,1
2,0.402429604,0.2,1,0.083333333,0.5,2,1
2,1.391137574,0.153846154,1.25,0.458333333,1,2,1
0,1.2795086,0.222222222,1,0.4,1,0,1
2,0.85016772,0.5,1,0.191666667,1,2,1
6,3.366288429,0.777777778,1,0.875,1,6,1
9,5.491912938,0.6,1.458333333,1.55,1,9,1
1,0,0,1.166666667,0,1,1,1
2,3.719849861,0.4,2.333333333,1.106060606,1,2,1
5,3.287570296,0.263157895,1.792592593,0.9,1,5,1
0,3.159838385,0.3125,1.955555556,0.831818182,1,0,1
0,0.306927676,0.090909091,1,0.038461538,0.5,0,1
0,3.087396712,0.269230769,1.04,0.739164905,1,0,1
10,4.77259402,0.257142857,1.470588235,0.860218254,1,10,1
3,0.601598475,0.153846154,1,0.075555556,0.5,3,1
10,3.336937306,0.75,1.090909091,0.568293651,1,10,1
10,3.521201764,0.529411765,1.125,0.606071429,1,10,1
3,2.218200874,0.114285714,1.470588235,0.540522876,1,3,1
0,8.405853509,0.215686275,2.731092437,2.343849206,1,0,1
0,2.023596076,0.076923077,1.654411765,0.34508547,1,0,1
3,1.820478453,0.057142857,1.470588235,0.666666667,1,3,1
0,2.023596076,0.075,1.470588235,0.34508547,1,0,1
10,5.22457903,0.285714286,1.604278075,1.035218254,1,10,1
12,8.007052994,0.428571429,1.654411765,1.911852241,1,12,1
1,0,0,2.941176471,0,1,1,1
5,2.236841596,0.5,1.285714286,0.538095238,1,5,1
7,3.845070993,0.461538462,1.607142857,1.062698413,1,7,1
5,2.236841596,0.5,1.285714286,0.538095238,1,5,1
0,0,0,1.071428571,0,0.333333333,0,1
2,1.442695041,0.125,2.571428571,0.5,1,2,1
2,1.442695041,0.125,2.571428571,0.5,1,2,1
3,1.820478453,0.25,1.285714286,0.555555556,1,3,1
0,4.134987961,0.294117647,1.96875,1.324542125,1,0,1
0,1.335045189,0.285714286,1.5,0.261904762,1,0,1
5,2.485339738,0.5,1,0.8,1,5,1
5,2.485339738,0.5,1,0.8,1,5,1
3,1.442695041,0.333333333,1,0.5,1,3,1
0,1.082021281,0.076923077,1.111111111,0.375,1,0,1
3,1.592918647,0.181818182,1.125,0.5,1,3,1
3,1.592918647,0.181818182,1.125,0.5,1,3,1
0,2.305515793,0.4,2.916666667,0.75,1,0,1
3,0.729409584,0.142857143,1.090909091,0.085555556,0.5,3,1
3,2.037492798,0.235294118,1.125,0.469411765,1,3,1
5,3.013382325,0.454545455,2.5,0.624458874,1,5,1
3,6.492369879,0.6,7.873015873,1.159298556,1,3,1
0,3.899313645,0.555555556,4.244897959,0.630586692,1,0,1
3,3.129996186,0.375,7.428571429,0.367095919,1,3,1
3,6.104248603,0.666666667,7.428571429,1.033299107,1,3,1
0,6.00708126,0.6,6.396825397,1.10107206,1,0,1
5,4.074657643,0.3,11.19444444,0.540202255,1,5,1
7,7.975826884,0.7,11.19444444,1.547441424,1,7,1
0,5.013964452,0.666666667,6.035714286,0.844360246,1,0,1
0,0,0,1.333333333,0,1,0,1
3,2.352934268,0.2,1.777777778,0.722222222,1,3,1
4,2.424227212,0.105263158,4.333333333,0.509803922,1,4,1
0,1.820478453,0.105263158,1.444444444,0.666666667,1,0,1
2,2.782275147,0.157894737,2.166666667,0.916666667,1,2,1
7,4.720021832,0.344827586,1.392857143,0.715361994,1,7,1
0,4.428382804,0.4,1.291666667,0.681827164,1,0,1
3,0.596051216,0.142857143,1,0.076785714,0.5,3,1
0,4.125751701,0.555555556,1.294117647,0.642069073,1,0,1
9,3.333251971,0.833333333,1,0.524636958,1,9,1
0,4.570520179,0.357142857,1.407407407,0.697883434,1,0,1
7,3.50729933,0.625,1.066666667,0.560188906,1,7,1
7,5.131764913,0.217391304,1.555555556,0.788158167,1,7,1
9,3.333251971,0.833333333,1,0.524636958,1,9,1
5,2.485339738,0.4,1,0.8,1,5,1
0,1.592918647,0.086956522,1.590909091,0.5,1,0,1
5,2.73071768,0.5,9,0.777777778,1,5,1
5,2.73071768,0.5,9,0.777777778,1,5,1
6,2.701170744,0.5,1.142857143,0.85,1,6,1
6,2.485339738,0.5,1.371428571,0.8,1,6,1
0,2.701170744,0.5,1.142857143,0.85,1,0,1
3,2.73071768,0.5,9,0.666666667,1,3,1
3,2.73071768,0.5,9,0.666666667,1,3,1
3,2.73071768,0.5,9,0.666666667,1,3,1
3,1.442695041,0.333333333,1,0.5,1,3,1
9,2.563745975,0.714285714,1,0.711111111,1,9,1
9,2.563745975,0.714285714,1,0.711111111,1,9,1
2,1.256215483,0.153846154,1.666666667,0.388888889,1,2,1
1,0,0,1.111111111,0,1,1,1
1,1.442695041,0.125,1,0.5,1,1,1
9,2.563745975,0.714285714,1,0.711111111,1,9,1
3,1.468349853,0.5,1,0.5,1,3,1
4,1.468349853,0.5,1,0.5,1,4,1
3,2.524716322,0.666666667,1.44,0.8125,1,3,1
5,1.224897207,0.181818182,1.333333333,0.375,1,5,1
4,2.164042561,0.6,1,0.75,1,4,1
4,2.164042561,0.6,1,0.75,1,4,1
8,2.555078547,0.307692308,1.25,0.64047619,1,8,1
8,1.658431781,0.666666667,1,0.36031746,1,8,1
1,0,0,1.157894737,0,1,1,1
3,2.885390082,0.1,1.543859649,1,1,3,1
7,3.744071841,0.5,1.296296296,1.291666667,1,7,1
6,3.003786194,0.75,1,0.814285714,1,6,1
6,3.083390054,0.545454545,1,0.857142857,1,6,1
6,3.003786194,0.75,1,0.814285714,1,6,1
7,3.003786194,0.75,1,0.814285714,1,7,1
6,3.003786194,0.75,1,0.814285714,1,6,1
0,0,0,1,0,0.333333333,0,-1
0,0,0,1.25,0,0.333333333,0,-1
0,0,0,1,0,0.25,0,-1
