CommonNeighbor,AdamicAdar,JaccardCoefficient,PreferentialAttachment,ResourceAllocation,ShortestPath,CommonCountry,Label class
1,0.271085031,0.041666667,114,0.025,0.5,0,1
1,0.369269373,0.043478261,95,0.066666667,0.5,2,1
1,0.369269373,0.043478261,95,0.066666667,0.5,2,1
1,0.271085031,0.035714286,190,0.025,0.5,0,1
2,0.868588964,0.095238095,76,0.2,0.5,0,1
1,0.271085031,0.037037037,171,0.025,0.5,0,1
1,0.271085031,0.037037037,171,0.025,0.5,0,1
1,0.271085031,0.037037037,171,0.025,0.5,0,1
1,0.271085031,0.037037037,171,0.025,0.5,0,1
1,0.271085031,0.043478261,95,0.025,0.5,0,1
1,0.339623272,0.043478261,95,0.052631579,0.5,0,1
1,0.339623272,0.047619048,57,0.052631579,0.5,0,1
1,0.513898342,0.04,133,0.142857143,0.5,0,1
1,0.513898342,0.04,133,0.142857143,0.5,0,1
1,0.369269373,0.043478261,95,0.066666667,0.5,2,1
1,0.513898342,0.04,133,0.142857143,0.5,0,1
1,0.513898342,0.04,133,0.142857143,0.5,0,1
1,0.271085031,0.04,133,0.025,0.5,0,1
1,0.378923182,0.041666667,84,0.071428571,0.5,0,1
1,0.558110627,0.090909091,32,0.166666667,0.5,0,1
1,0.558110627,0.2,8,0.166666667,0.5,0,1
2,0.795955573,0.4,12,0.162337662,0.5,3,1
2,0.795955573,0.25,24,0.162337662,0.5,6,1
2,0.795955573,0.25,24,0.162337662,0.5,0,1
2,0.795955573,0.25,24,0.162337662,0.5,0,1
2,0.795955573,0.25,24,0.162337662,0.5,0,1
2,0.795955573,0.25,24,0.162337662,0.5,0,1
1,0.378923182,0.142857143,16,0.071428571,0.5,0,1
2,0.795955573,0.25,24,0.162337662,0.5,6,1
1,0.480898347,0.083333333,30,0.125,0.5,0,1
1,0.402429604,0.058823529,45,0.083333333,0.5,2,1
1,0.402429604,0.090909091,27,0.083333333,0.5,2,1
1,0.402429604,0.125,18,0.083333333,0.5,2,1
1,0.402429604,0.2,9,0.083333333,0.5,2,1
1,0.402429604,0.166666667,12,0.083333333,0.5,2,1
1,0.402429604,0.166666667,12,0.083333333,0.5,2,1
2,0.883327951,0.333333333,15,0.208333333,0.5,3,1
1,0.402429604,0.333333333,3,0.083333333,0.5,0,1
1,0.480898347,0.166666667,12,0.125,0.5,0,1
1,0.480898347,0.166666667,12,0.125,0.5,0,1
1,0.417032391,0.5,2,0.090909091,0.5,0,1
1,0.417032391,0.2,5,0.090909091,0.5,0,1
1,0.417032391,0.5,2,0.090909091,0.5,0,1
1,0.417032391,0.5,2,0.090909091,0.5,0,1
1,0.417032391,0.25,4,0.090909091,0.5,0,1
1,0.417032391,0.25,4,0.090909091,0.5,0,1
1,0.417032391,0.5,2,0.090909091,0.5,0,1
1,0.417032391,0.2,5,0.090909091,0.5,0,1
1,0.417032391,0.5,2,0.090909091,0.5,0,1
1,0.333808201,0.043478261,95,0.05,0.5,2,1
1,0.333808201,0.142857143,15,0.05,0.5,2,1
1,0.333808201,0.1,30,0.05,0.5,3,1
1,0.333808201,0.1,30,0.05,0.5,2,1
1,0.333808201,0.076923077,45,0.05,0.5,2,1
1,0.333808201,0.125,20,0.05,0.5,2,1
1,0.333808201,0.125,20,0.05,0.5,2,1
1,0.333808201,0.166666667,10,0.05,0.5,2,1
1,0.333808201,0.047619048,85,0.05,0.5,2,1
1,0.333808201,0.047619048,85,0.05,0.5,2,1
1,0.333808201,0.166666667,10,0.05,0.5,2,1
1,0.333808201,0.142857143,15,0.05,0.5,2,1
3,1.450029454,0.6,15,0.383333333,0.5,4,1
1,0.378923182,0.125,20,0.071428571,0.5,2,1
1,0.378923182,0.166666667,10,0.071428571,0.5,2,1
1,0.378923182,0.125,20,0.071428571,0.5,2,1
1,0.378923182,0.125,20,0.071428571,0.5,2,1
1,0.378923182,0.125,20,0.071428571,0.5,2,1
1,0.455119613,0.05,80,0.111111111,0.5,2,1
1,0.378923182,0.166666667,10,0.071428571,0.5,0,1
1,0.378923182,0.2,5,0.071428571,0.5,0,1
1,0.378923182,0.166666667,10,0.071428571,0.5,2,1
1,0.378923182,0.166666667,10,0.071428571,0.5,2,1
1,0.455119613,0.076923077,45,0.111111111,0.5,4,1
1,0.455119613,0.076923077,45,0.111111111,0.5,2,1
1,0.455119613,0.125,20,0.111111111,0.5,2,1
1,0.402429604,0.166666667,12,0.083333333,0.5,0,1
1,0.402429604,0.166666667,12,0.083333333,0.5,0,1
1,0.402429604,0.166666667,12,0.083333333,0.5,0,1
1,0.402429604,0.166666667,12,0.083333333,0.5,0,1
1,0.402429604,0.2,8,0.083333333,0.5,0,1
1,0.402429604,0.2,8,0.083333333,0.5,0,1
1,0.402429604,0.2,8,0.083333333,0.5,0,1
1,0.402429604,0.2,8,0.083333333,0.5,0,1
1,0.265872586,0.090909091,32,0.023255814,0.5,0,1
3,0.941769972,0.136363636,136,0.129167144,0.5,0,1
1,0.265872586,0.090909091,32,0.023255814,0.5,0,1
4,1.344199576,0.363636364,56,0.212500477,0.5,0,1
1,0.265872586,0.037037037,160,0.023255814,0.5,0,1
1,0.265872586,0.05,104,0.023255814,0.5,0,1
3,0.965276394,0.214285714,72,0.141071906,0.5,0,1
1,0.265872586,0.1,24,0.023255814,0.5,0,1
1,0.265872586,0.090909091,32,0.023255814,0.5,0,1
1,0.265872586,0.090909091,32,0.023255814,0.5,0,1
2,0.56284679,0.068965517,184,0.057738573,0.5,0,1
2,0.56284679,0.076923077,160,0.057738573,0.5,0,1
2,0.56284679,0.08,152,0.057738573,0.5,0,1
1,0.296974204,0.111111111,16,0.034482759,0.5,0,1
3,0.965276394,0.272727273,48,0.141071906,0.5,1,1
2,0.56284679,0.125,80,0.057738573,0.5,0,1
1,0.265872586,0.052631579,96,0.023255814,0.5,0,1
2,0.56284679,0.105263158,104,0.057738573,0.5,0,1
3,0.941769972,0.2,80,0.129167144,0.5,0,1
2,0.56284679,0.105263158,104,0.057738573,0.5,0,1
2,0.56284679,0.133333333,72,0.057738573,0.5,0,1
3,0.965276394,0.272727273,48,0.141071906,0.5,1,1
1,0.265872586,0.090909091,32,0.023255814,0.5,0,1
2,0.66830219,0.181818182,40,0.106589147,0.5,0,1
2,0.56284679,0.142857143,64,0.057738573,0.5,0,1
4,1.344199576,0.285714286,80,0.212500477,0.5,0,1
4,1.344199576,0.363636364,56,0.212500477,0.5,0,1
2,0.66830219,0.181818182,40,0.106589147,0.5,0,1
2,0.56284679,0.181818182,40,0.057738573,0.5,0,1
2,0.66830219,0.181818182,40,0.106589147,0.5,0,1
2,0.66830219,0.181818182,40,0.106589147,0.5,0,1
2,0.56284679,0.133333333,72,0.057738573,0.5,0,1
2,0.56284679,0.181818182,40,0.057738573,0.5,0,1
1,0.265872586,0.090909091,32,0.023255814,0.5,0,1
2,0.656917478,0.076923077,96,0.095238095,0.5,3,1
4,1.131092301,0.102564103,456,0.118463203,0.5,0,1
1,0.248425498,0.03125,216,0.017857143,0.5,2,1
1,0.227559807,0.037037037,96,0.012345679,0.5,2,1
2,0.656917478,0.046511628,504,0.095238095,0.5,3,1
1,0.248425498,0.016129032,936,0.017857143,0.5,0,1
1,0.227559807,0.008064516,2424,0.012345679,0.5,2,1
5,1.499671377,0.073529412,1176,0.183726361,0.5,6,1
1,0.248425498,0.034482759,144,0.017857143,0.5,0,1
1,0.227559807,0.021276596,576,0.012345679,0.5,2,1
1,0.227559807,0.021276596,576,0.012345679,0.5,2,1
1,0.248425498,0.017241379,840,0.017857143,0.5,2,1
1,0.310667467,0.010416667,1752,0.04,0.5,2,1
1,0.227559807,0.025641026,384,0.012345679,0.5,2,1
1,0.227559807,0.015151515,1032,0.012345679,0.5,2,1
4,1.922757378,0.088888889,600,0.517857143,0.5,0,1
3,1.67433188,0.12,96,0.5,0.5,0,1
4,1.131092301,0.072727273,840,0.118463203,0.5,0,1
1,0.248425498,0.027027027,336,0.017857143,0.5,0,1
1,0.227559807,0.017241379,840,0.012345679,0.5,0,1
1,0.227559807,0.03030303,240,0.012345679,0.5,0,1
1,0.227559807,0.03030303,240,0.012345679,0.5,2,1
1,0.227559807,0.03030303,240,0.012345679,0.5,2,1
1,0.227559807,0.03030303,240,0.012345679,0.5,2,1
2,0.656917478,0.076923077,96,0.095238095,0.5,3,1
2,0.656917478,0.044444444,552,0.095238095,0.5,3,1
1,0.227559807,0.03030303,240,0.012345679,0.5,2,1
5,1.499671377,0.119047619,552,0.183726361,0.5,6,1
1,0.248425498,0.037037037,96,0.017857143,0.5,2,1
1,0.227559807,0.037037037,96,0.012345679,0.5,0,1
1,0.227559807,0.015873016,960,0.012345679,0.5,0,1
1,0.310667467,0.019607843,672,0.04,0.5,2,1
2,0.656917478,0.076923077,96,0.095238095,0.5,3,1
1,0.227559807,0.037037037,96,0.012345679,0.5,0,1
