CommonNeighbor,AdamicAdar,JaccardCoefficient,PreferentialAttachment,ResourceAllocation,ShortestPath,CommonCountry,Label
6,1.368378427,0.6,16,0.340909091,1,6,1
2,1.442695041,0.1,18,0.5,1,2,1
2,0.455119613,0.2,8,0.111111111,0.5,2,1
2,1.391137574,0.153846154,36,0.458333333,1,2,1
0,1.312668831,0.222222222,24,0.416666667,1,0,1
2,0.883327951,0.5,9,0.208333333,1,2,1
6,3.366288429,0.777777778,64,0.875,1,6,1
9,4.958028673,0.6,144,1.463492063,1,9,1
1,0,0,12,0,1,1,1
2,2.911044894,0.4,45,1,1,2,1
5,2.68756212,0.263157895,135,0.777777778,1,5,1
0,2.584571106,0.3125,90,0.722222222,1,0,1
0,0.310667467,0.090909091,32,0.04,0.5,0,1
0,3.127325225,0.269230769,200,0.75625,1,0,1
10,3.635931036,0.257142857,340,0.759469697,1,10,1
3,0.644252252,0.153846154,50,0.091911765,0.5,3,1
10,3.502477136,0.75,110,0.697972371,1,10,1
10,3.558835768,0.529411765,160,0.726381462,1,10,1
3,1.922272618,0.114285714,170,0.505978261,1,3,1
0,6.602749413,0.215686275,952,2.03452381,1,0,1
0,1.313331868,0.076923077,272,0.313492063,1,0,1
3,1.820478453,0.057142857,102,0.666666667,1,3,1
0,1.339110602,0.075,306,0.327380952,1,0,1
10,4.274528061,0.285714286,374,0.968560606,1,10,1
12,7.237019259,0.428571429,544,1.873781291,1,12,1
1,0,0,34,0,1,1,1
5,1.940092486,0.5,35,0.50952381,1,5,1
7,3.282774941,0.461538462,84,0.95952381,1,7,1
5,1.940092486,0.5,35,0.50952381,1,5,1
0,0,0,28,0,0.333333333,0,1
2,1.442695041,0.125,14,0.5,1,2,1
2,1.442695041,0.125,14,0.5,1,2,1
3,1.424137569,0.25,21,0.476190476,1,3,1
0,4.049424806,0.294117647,96,1.340909091,1,0,1
0,0.918784387,0.285714286,18,0.229166667,1,0,1
5,2.485339738,0.5,35,0.8,1,5,1
5,2.485339738,0.5,35,0.8,1,5,1
3,1.442695041,0.333333333,4,0.5,1,3,1
0,0.910239227,0.076923077,45,0.333333333,1,0,1
3,1.391137574,0.181818182,40,0.458333333,1,3,1
3,1.391137574,0.181818182,40,0.458333333,1,3,1
0,1.820478453,0.4,12,0.666666667,1,0,1
3,0.644252252,0.142857143,55,0.091911765,0.5,3,1
3,1.84517735,0.235294118,80,0.472890026,1,3,1
5,2.51470401,0.454545455,60,0.68452381,1,5,1
