CommonNeighbor,AdamicAdar,JaccardCoefficient,PreferentialAttachment,ResourceAllocation,ShortestPath,CommonCountry,Label
8,3.103634427,0.28,192,0.737373737,1,8,1
11,9.402095276,0.68,432,2.771103896,1,11,1
10,7.601707855,0.52,336,2.346031746,1,10,1
0,2.319124417,0.666666667,25,0.711111111,1,0,1
8,2.000805667,0.115384615,100,0.666666667,1,8,1
8,1.753362508,0.428571429,24,0.54,1,8,1
2,0.310667467,0.071428571,44,0.04,0.5,2,1
8,1.590125614,0.6,16,0.456666667,1,8,1
6,3.640956907,0.8,81,0.888888889,1,6,1
6,3.640956907,0.8,81,0.888888889,1,6,1
0,2.485339738,0.666666667,25,0.8,1,0,1
12,3.984521015,0.192307692,150,1.416666667,1,12,1
10,4.106247647,0.384615385,275,0.877005348,1,10,1
8,2.000805667,0.115384615,100,0.666666667,1,8,1
3,1.820478453,0.5,9,0.666666667,1,3,1
6,2.344903151,0.444444444,40,0.725,1,6,1
8,4.6493823,0.777777778,64,1.55,1,8,1
5,2.344903151,0.333333333,55,0.725,1,5,1
5,2.281037195,0.444444444,40,0.690909091,1,5,1
4,2.164042561,0.6,16,0.75,1,4,1
0,1.442695041,0.25,6,0.5,1,0,1
16,5.535562145,0.695652174,374,0.891329259,1,16,1
0,3.083390054,0.75,49,0.857142857,1,0,1
6,3.083390054,0.75,49,0.857142857,1,6,1
0,3.083390054,0.75,49,0.857142857,1,0,1
0,3.083390054,0.75,49,0.857142857,1,0,1
2,3.083390054,0.75,49,0.857142857,1,2,1
0,3.083390054,0.75,49,0.857142857,1,0,1
0,1.820478453,0.5,9,0.666666667,1,0,1
2,1.820478453,0.5,9,0.666666667,1,2,1
0,1.820478453,0.5,9,0.666666667,1,0,1
2,1.442695041,0.090909091,20,0.5,1,2,1
7,3.083390054,0.75,49,0.857142857,1,7,1
6,3.083390054,0.75,49,0.857142857,1,6,1
5,1.820478453,0.5,9,0.666666667,1,5,1
5,1.820478453,0.5,9,0.666666667,1,5,1
6,2.51370892,0.172413793,253,0.695238095,1,6,1
2,0.318928989,0.041666667,154,0.043478261,0.5,2,1
2,0.318928989,0.041666667,154,0.043478261,0.5,2,1
6,2.274527283,0.416666667,66,0.572049689,1,6,1
2,0.318928989,0.041666667,154,0.043478261,0.5,2,1
4,1.442695041,0.066666667,28,0.5,1,4,1
4,2.164042561,0.6,16,0.75,1,4,1
0,2.164042561,0.6,16,0.75,1,0,1
4,2.164042561,0.6,16,0.75,1,4,1
0,3.173455886,0.388888889,136,0.774853801,1,0,1
9,4.109473847,0.444444444,153,1.122076023,1,9,1
9,4.109473847,0.444444444,153,1.122076023,1,9,1
0,3.173455886,0.388888889,136,0.774853801,1,0,1
4,2.253876049,0.666666667,25,0.676923077,1,4,1
0,2.253876049,0.666666667,25,0.676923077,1,0,1
1,1.442695041,0.25,6,0.5,1,1,1
6,2.164042561,0.6,16,0.75,1,6,1
6,2.164042561,0.6,16,0.75,1,6,1
3,4.106247647,0.588235294,176,0.877005348,1,3,1
2,2.790553133,0.714285714,36,0.833333333,1,2,1
0,10.95310864,0.47826087,1155,2.943528694,1,0,1
0,2.447340205,0.176470588,231,0.53009768,1,0,1
0,5.365730282,0.352941176,429,1.297954823,1,0,1
0,2.447340205,0.176470588,231,0.53009768,1,0,1
4,2.452073458,0.166666667,245,0.531829282,1,4,1
3,5.370463535,0.333333333,455,1.299686425,1,3,1
0,2.452073458,0.166666667,245,0.531829282,1,0,1
4,1.923593388,0.333333333,32,0.625,1,4,1
6,1.923593388,0.333333333,32,0.625,1,6,1
2,1.442695041,0.090909091,20,0.5,1,2,1
5,2.485339738,0.666666667,25,0.8,1,5,1
5,2.485339738,0.666666667,25,0.8,1,5,1
4,2.634872111,0.714285714,36,0.75,1,4,1
6,3.878798443,0.5,104,1.15,1,6,1
0,3.878798443,0.5,104,1.15,1,0,1
0,2.064029975,0.285714286,65,0.575,1,0,1
6,3.878798443,0.5,104,1.15,1,6,1
2,1.820478453,0.111111111,51,0.666666667,1,2,1
0,1.468349853,0.111111111,51,0.5,1,0,1
7,3.024611325,0.666666667,56,0.825396825,1,7,1
9,2.99161133,0.75,49,0.807539683,1,9,1
7,2.99161133,0.75,49,0.807539683,1,7,1
7,3.050390059,0.6,63,0.839285714,1,7,1
9,2.99161133,0.75,49,0.807539683,1,9,1
7,2.99161133,0.75,49,0.807539683,1,7,1
2,0.558110627,0.2,8,0.166666667,0.5,2,1
3,2.164042561,0.136363636,84,0.75,1,3,1
3,0.328458739,0.125,20,0.047619048,0.5,3,1
2,0.328458739,0.066666667,48,0.047619048,0.5,2,1
0,2.164042561,0.6,16,0.75,1,0,1
4,2.164042561,0.6,16,0.75,1,4,1
2,0.72134752,0.2,8,0.25,1,2,1
17,6.483856115,0.390243902,810,1.381481481,1,17,1
24,6.864962327,0.678571429,540,1.212037037,1,24,1
13,3.328144859,0.285714286,243,0.737037037,1,13,1
24,6.864962327,0.678571429,540,1.212037037,1,24,1
24,6.864962327,0.678571429,540,1.212037037,1,24,1
34,10.08119475,0.928571429,729,2.002777778,1,34,1
3,0.588028208,0.051282051,378,0.066666667,0.5,3,1
3,1.820478453,0.5,9,0.666666667,1,3,1
17,5.881596356,0.414634146,832,0.944444444,1,17,1
6,2.164042561,0.6,16,0.75,1,6,1
2,1.442695041,0.142857143,12,0.5,1,2,1
6,2.164042561,0.428571429,24,0.75,1,6,1
0,1.820478453,0.5,9,0.666666667,1,0,-1
2,1.820478453,0.5,9,0.666666667,1,2,-1
3,1.820478453,0.5,9,0.666666667,1,3,-1
2,1.442695041,0.333333333,4,0.5,1,2,-1
0,1.442695041,0.333333333,4,0.5,1,0,-1
0,2.885390082,0.4,12,1,1,0,-1
0,0.910239227,0.2,8,0.333333333,1,0,-1
1,0,0,4,0,1,1,-1
0,0.910239227,0.2,8,0.333333333,1,0,-1
4,2.636128574,0.714285714,36,0.75,1,4,-1
0,2.636128574,0.714285714,36,0.75,1,0,-1
4,2.713340853,0.555555556,48,0.791666667,1,4,-1
0,2.636128574,0.714285714,36,0.75,1,0,-1
4,2.713340853,0.555555556,48,0.791666667,1,4,-1
4,2.636128574,0.714285714,36,0.75,1,4,-1
3,0.961796694,0.285714286,18,0.25,0.5,3,-1
3,0.961796694,0.285714286,18,0.25,0.5,3,-1
0,0.910239227,0.2,8,0.333333333,0.5,0,-1
0,1.820478453,0.4,12,0.666666667,1,0,-1
2,0,0,12,0,1,2,-1
