loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,lOCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects
11.0,2.0,1.0,2.0,39.0,156.0,0.12,8.5,18.35,1326.0,0.05,73.67,8,0,1,0,8.0,8.0,22.0,17.0,3.0,False
45.0,4.0,1.0,4.0,119.0,637.55,0.06,16.0,39.85,10200.78,0.21,566.71,33,3,5,0,16.0,25.0,69.0,50.0,7.0,False
11.0,1.0,1.0,1.0,28.0,109.39,0.25,4.0,27.35,437.57,0.04,24.31,8,0,1,0,6.0,9.0,16.0,12.0,1.0,False
8.0,1.0,1.0,1.0,22.0,85.95,0.19,5.25,16.37,451.25,0.03,25.07,4,0,2,0,9.0,6.0,15.0,7.0,1.0,False
208.0,56.0,53.0,24.0,675.0,4217.35,0.02,59.07,71.4,249113.14,1.41,13839.62,165,28,10,2,25.0,51.0,434.0,241.0,111.0,False
4.0,1.0,1.0,1.0,8.0,24.0,0.33,3.0,8.0,72.0,0.01,4.0,2,0,0,0,6.0,2.0,6.0,2.0,1.0,False
4.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,2,0,0,0,3.0,2.0,3.0,2.0,1.0,False
36.0,3.0,1.0,3.0,49.0,215.22,0.08,12.67,16.99,2726.17,0.07,151.45,17,9,8,0,12.0,9.0,30.0,19.0,4.0,False
47.0,12.0,1.0,11.0,122.0,684.99,0.06,16.9,40.54,11574.05,0.23,643.0,44,0,2,1,20.0,29.0,73.0,49.0,14.0,False
65.0,2.0,1.0,2.0,165.0,982.44,0.08,11.97,82.09,11757.95,0.33,653.22,38,10,15,0,15.0,47.0,90.0,75.0,3.0,False
30.0,4.0,4.0,4.0,74.0,370.0,0.1,9.6,38.54,3552.0,0.12,197.33,13,9,6,0,12.0,20.0,42.0,32.0,7.0,False
