loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,lOCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects
52.0,9.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,17.0,True
19.0,4.0,3.0,3.0,48.0,220.08,0.08,11.82,18.62,2600.92,0.07,144.5,14,0,3,0,13.0,11.0,28.0,20.0,7.0,True
7.0,1.0,1.0,1.0,17.0,58.81,0.44,2.29,25.73,134.42,0.02,7.47,5,0,0,0,4.0,7.0,9.0,8.0,1.0,False
39.0,3.0,3.0,2.0,70.0,350.0,0.12,8.11,43.11,2841.67,0.12,157.87,20,11,6,0,11.0,21.0,39.0,31.0,5.0,False
27.0,3.0,1.0,3.0,65.0,298.02,0.16,6.18,48.25,1840.73,0.1,102.26,19,2,4,0,7.0,17.0,35.0,30.0,5.0,False
24.0,2.0,1.0,2.0,64.0,297.21,0.13,7.53,39.47,2237.79,0.1,124.32,14,1,7,0,8.0,17.0,32.0,32.0,3.0,False
26.0,10.0,9.0,2.0,79.0,371.33,0.03,34.88,10.65,12950.3,0.12,719.46,18,2,4,0,18.0,8.0,48.0,31.0,19.0,False
33.0,3.0,3.0,2.0,131.0,753.89,0.11,8.86,85.12,6677.31,0.25,370.96,25,1,5,0,12.0,42.0,69.0,62.0,5.0,False
59.0,8.0,6.0,8.0,233.0,1381.86,0.04,23.9,57.81,33029.87,0.46,1834.99,42,8,7,0,20.0,41.0,135.0,98.0,15.0,False
537.0,18.0,1.0,16.0,2158.0,16602.54,0.02,62.49,265.68,1037522.97,5.53,57640.16,375,44,114,2,24.0,183.0,1205.0,953.0,35.0,True
4.0,2.0,1.0,1.0,14.0,51.81,0.29,3.5,14.8,181.32,0.02,10.07,2,0,0,0,7.0,6.0,8.0,6.0,3.0,False
13.0,3.0,3.0,2.0,36.0,140.65,0.1,10.0,14.06,1406.48,0.05,78.14,10,0,0,1,10.0,5.0,26.0,10.0,5.0,False
4.0,1.0,1.0,1.0,6.0,15.51,0.5,2.0,7.75,31.02,0.01,1.72,2,0,0,0,4.0,2.0,4.0,2.0,1.0,False
119.0,6.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,11.0,False
14.0,4.0,3.0,2.0,37.0,171.82,0.11,8.91,19.29,1530.78,0.06,85.04,10,0,2,0,14.0,11.0,23.0,14.0,7.0,False
19.0,3.0,1.0,3.0,47.0,223.48,0.13,8.0,27.93,1787.84,0.07,99.32,15,0,2,0,12.0,15.0,27.0,20.0,5.0,False
7.0,1.0,1.0,1.0,16.0,44.92,0.25,4.0,11.23,179.67,0.01,9.98,4,1,0,0,4.0,3.0,10.0,6.0,1.0,False
9.0,1.0,1.0,1.0,20.0,60.0,0.17,5.83,10.29,350.0,0.02,19.44,7,0,0,0,5.0,3.0,13.0,7.0,1.0,False
27.0,6.0,1.0,3.0,86.0,421.99,0.05,19.5,21.64,8228.86,0.14,457.16,23,0,2,0,15.0,15.0,47.0,39.0,11.0,False
16.0,2.0,1.0,2.0,63.0,325.71,0.11,8.91,36.56,2901.74,0.11,161.21,15,0,1,0,14.0,22.0,35.0,28.0,3.0,False
46.0,5.0,4.0,3.0,106.0,548.01,0.07,15.0,36.53,8220.18,0.18,456.68,37,2,5,0,15.0,21.0,64.0,42.0,9.0,False
6.0,2.0,1.0,2.0,19.0,70.31,0.26,3.86,18.23,271.19,0.02,15.07,4,0,0,0,6.0,7.0,10.0,9.0,3.0,False
36.0,2.0,1.0,1.0,127.0,661.6,0.04,23.22,28.49,15363.84,0.22,853.55,24,2,7,0,19.0,18.0,83.0,44.0,3.0,False
185.0,19.0,1.0,7.0,760.0,4719.18,0.02,64.06,73.65,302377.38,1.57,16798.74,158,3,20,2,20.0,54.0,414.0,346.0,37.0,False
60.0,8.0,4.0,7.0,146.0,801.81,0.05,19.33,41.47,15501.67,0.27,861.2,46,5,7,0,18.0,27.0,88.0,58.0,15.0,True
5.0,1.0,1.0,1.0,13.0,44.97,0.33,3.0,14.99,134.92,0.01,7.5,3,0,0,0,6.0,5.0,8.0,5.0,1.0,False
4.0,1.0,1.0,1.0,6.0,15.51,0.5,2.0,7.75,31.02,0.01,1.72,2,0,0,0,4.0,2.0,4.0,2.0,1.0,False
9.0,1.0,1.0,1.0,19.0,68.11,0.31,3.21,21.19,218.94,0.02,12.16,4,0,1,0,5.0,7.0,10.0,9.0,1.0,False
26.0,2.0,1.0,2.0,74.0,343.65,0.22,4.5,76.37,1546.4,0.11,85.91,20,1,3,0,5.0,20.0,38.0,36.0,3.0,False
